name,collaborative,public,uri
Sharon RPD,False,True,spotify:playlist:2WsAAjnlcRAzyPrBDvMYyy
Aegyo,False,True,spotify:playlist:6WTiB2kj3G2g3eYqornNd2
K-Pop,False,True,spotify:playlist:0Xp2gQ9p4VMgt5HauIfIq7
K-Pop Favorites,False,True,spotify:playlist:1ZbxKv1noxwZ4zFgRNEFIo
Pop,False,True,spotify:playlist:1WZ2RqQv2SPX5uzmjWhgSh
Singer-Songwriter,False,True,spotify:playlist:3aNr3GFiAvm1utXDyFOpAR
Indie/Alternative,False,True,spotify:playlist:4Xh0xXGeyxbMXBDsxluPsa
R&B,False,True,spotify:playlist:1RsGeysyOdV3wZHqlto0Gb
Hip Hop,False,True,spotify:playlist:7trD87dfibqZnzSIqufO75
Classic Rock,False,True,spotify:playlist:5z6MnUYwnqrMcdd9b14Cc7
Classic Pop,False,True,spotify:playlist:6oXUc88JlAQTNdKvn529pD
International Pop,False,True,spotify:playlist:36OHPiYrLGYMfVa0zcHgLf
Electronic,False,True,spotify:playlist:3cWXIQgqhOUB6slIr3oglt
Jazz,False,True,spotify:playlist:58yLhLYn4iDQPCN53MfiDI
Country/Folk,False,True,spotify:playlist:6M7uIRzByJjX0q7wGcujJo
Musicals,False,True,spotify:playlist:54LRPekls9oCtaWOnmM3N0
A Cappella,False,True,spotify:playlist:7LQjtpZ8EZ5vWXgPoovFeC
Workout,False,True,spotify:playlist:2k3hvTN4nT61WtedThX4kl
Disney,False,True,spotify:playlist:6OHUelObHhiWFkbH4cwFMg
Classical Piano,False,True,spotify:playlist:6zyFBYvlNwwz3KTTnqqI5K
String Quartets,False,True,spotify:playlist:6b3mJeJjM9S5XAIS8jcTAt
Symphonies,False,True,spotify:playlist:6MV24KoytTEVRs9I4obBpW
Choral,False,True,spotify:playlist:1PCfeawsTHOhi6DGzagL7Y
Program Music,False,True,spotify:playlist:1PyrZgdZpE6UzIA3lANOlR
Ballet,False,True,spotify:playlist:23temGx5UrTk2wboAvEb0v
Opera,False,True,spotify:playlist:5oHgN9turjgCvJNG6YfXdm
Bach,False,True,spotify:playlist:2fkIDMzy3H9JWLKHnULX7s
Beethoven,False,True,spotify:playlist:6Lvj5MXaiMrmyaBnvLvxAW
Brahms,False,True,spotify:playlist:7MnYdeDrgvc9PoWHqcGVeq
Chopin,False,True,spotify:playlist:630IicjdF4RLyaOqIXm0jm
Debussy,False,True,spotify:playlist:3bJkc96LYMneTHBCS80BAl
Mahler,False,True,spotify:playlist:1OvoBxtJKSZVxTQRoZcWVn
Mozart,False,True,spotify:playlist:2MCvxVYbyzdWBgpnuRWsuM
Rachmaninov,False,True,spotify:playlist:7LeSS5dq68CWVIOy81oza1
Vivaldi,False,True,spotify:playlist:39dOiLs9ZbssQvs9xLBRzw
