name,album_type,label,popularity,total_tracks,release_date,uri,image_url
Where the Secret Lies,album,The Loreleis,0,9,2018,spotify:album:6kKcn38yjU8iFvlWCbcQsL,https://i.scdn.co/image/ab67616d0000b273d3f8430d5bac3daad32d93eb
When it snows(Feat.Heize),single,ShowPLAY ENTERTAINMENT,30,1,2021-12-03,spotify:album:1d2YKQ02RQA97EyrB55ZcK,https://i.scdn.co/image/ab67616d0000b273b866ae204041c820a937a0f5
30,album,Columbia,77,12,2021-11-19,spotify:album:21jF5jlMtzo94wbxmJ18aa,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
Boat,single,CRAFT AND JUN,38,1,2017-11-17,spotify:album:02uMD7AxTNi2Af2H4DxfPO,https://i.scdn.co/image/ab67616d0000b27376f61c1b07733a668bf4e795
dont smile at me,single,Darkroom,76,9,2017-12-22,spotify:album:7fRrTyKvE4Skh93v97gtcU,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795
Who's Next (Expanded Edition),album,Geffen*,40,16,1971-08-14,spotify:album:53PBYiedQrASAs5sy63JqT,https://i.scdn.co/image/ab67616d0000b2732d3eda886f81a2bad9274f02
EX'ACT,album,SM Entertainment,55,22,2016-06-09,spotify:album:5Cckx6G2aRR4aZBV6eIYdc,https://i.scdn.co/image/ab67616d0000b27315a67578922d65121b12073d
11:11,album,Sony Music Latin,67,16,2019-05-17,spotify:album:3YIUNL7qFE8NP3X3zaYSND,https://i.scdn.co/image/ab67616d0000b273073bc2070f7fa02b2a6bda64
Breakfast on the Morning Tram,album,Parlophone (France),0,13,2007-09-03,spotify:album:5RwBI4pEinXbIiUhWzAMbX,https://i.scdn.co/image/ab67616d0000b27372fb9383a4e394271146d94c
To Pimp A Butterfly,album,Aftermath,72,16,2015-03-16,spotify:album:7ycBtnsMtyVbbwTfJwRjSP,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1
STEREOTYPE,single,High Up Entertainment,59,4,2021-09-06,spotify:album:7HGjNJBj1NQGNwCzFD2LHj,https://i.scdn.co/image/ab67616d0000b2735c1dca4c993850471d5d8f14
Savage - The 1st Mini Album,single,SM Entertainment,65,6,2021-10-05,spotify:album:3vyyDkvYWC36DwgZCYd3Wu,https://i.scdn.co/image/ab67616d0000b273d8cc2281fcd4519ca020926b
Heng:garæ,single,PLEDIS Entertainment,60,6,2020-06-22,spotify:album:3q6lN3kfsDgGaQUC7kVASH,https://i.scdn.co/image/ab67616d0000b2736f29a60db7b4479599fae56d
We Boom - The 3rd Mini Album,single,SM Entertainment,56,6,2019-07-26,spotify:album:31ln9LpD1WyhFlOvDp9YJc,https://i.scdn.co/image/ab67616d0000b27309610687bcd1b3dc95d5d436
IT'z Different,single,JYP Entertainment,0,2,2019-02-12,spotify:album:0fUJLlrsG1MpTHr3MxPN9C,https://i.scdn.co/image/ab67616d0000b2730e31e2a3b1516e79fbfe7486
reputation,album,"Big Machine Records, LLC",82,15,2017-11-10,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
ABC,album,Motown,52,12,1970-05-08,spotify:album:3btVhknqDeGAEd1Qj7lL57,https://i.scdn.co/image/ab67616d0000b2731c9f79fbe073eb95007ed48f
Moondance (Expanded Edition),album,Warner Records,52,21,1970-02,spotify:album:6yNYC35npMBHbxG0Vle83O,https://i.scdn.co/image/ab67616d0000b27369bb57791f9859f2695391f7
Hot Pink,album,Kemosabe Records/RCA Records,77,12,2019-11-07,spotify:album:1MmVkhiwTH0BkNOU3nw5d3,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533
Monster - The 1st Mini Album,single,SM Entertainment,54,5,2020-07-06,spotify:album:4DFheSBXhfewjz7SSe4Kyc,https://i.scdn.co/image/ab67616d0000b273f919108974e4213d86b83805
