name,uri,popularity,followers,image_url
Lee Young Ji,spotify:artist:0Y2AcMPMpeuPXtPQGVvRBq,50,53046,https://i.scdn.co/image/ab67616d0000b2733e59f3e73b99ed248ab7bae2
NINGNING,spotify:artist:5t1uryofgueHrjrryqX8vM,44,19359,https://i.scdn.co/image/ab6761610000e5ebfe7fc78f16d948f53a607c53
CHENLE,spotify:artist:6mt12wGFaBAJPjK076GOJz,29,15371,
Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,100,54515923,https://i.scdn.co/image/ab6761610000e5eb8ee9a6f54dcbd4bc95126b14
Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,85,24728875,https://i.scdn.co/image/ab6761610000e5eb8136bed5d8a80791bbe9ae23
Pavel Kühn,spotify:artist:7bzLxD5IZSXMmuuqnZ7MfY,13,28,https://i.scdn.co/image/fde9f1407c45f7ff7e6fa92d70b259de19705c09
The Monkees,spotify:artist:320EPCSEezHt1rtbfwH6Ck,62,990309,https://i.scdn.co/image/ab6761610000e5ebbdef7f178c9cf2e8d50cb9b9
Rene Auberjonois,spotify:artist:5vLv7RBpAmIPypST2zhKUw,31,601,
J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,41,95183,https://i.scdn.co/image/ab6761610000e5eb9d73d4effa3ecf8c5c25a22f
Freshlyground,spotify:artist:7AcV1lk8Zrgo1691PDWEle,61,52513,https://i.scdn.co/image/cdc8cf94774db4f0066ca1f90eb3fda45955a420
Gints Berzins,spotify:artist:0CqCB3JQz4h9k3qk74ihWT,3,38,https://i.scdn.co/image/ab67616d0000b273732b6fb281de1f71f1f5f325
Christopher,spotify:artist:3zDRCqOhJXJfS2YWOEwGMC,57,232526,https://i.scdn.co/image/ab6761610000e5eb5925909bff0f2cf1bf94f949
Skrillex,spotify:artist:5he5w2lnU9x7JFhnwcekXX,75,7976115,https://i.scdn.co/image/ab6761610000e5eb3b4b7eaaf58759b58626de37
Franz Liszt,spotify:artist:1385hLNbrnbCJGokfH2ac2,60,663730,https://i.scdn.co/image/9ec531e3712e68c72ae3cf06f17e4055a615c4bf
Seori,spotify:artist:2bWTIIQP9zaVc55RaMGu7e,56,212606,https://i.scdn.co/image/ab6761610000e5ebbbca2e91d07d2c53e6610570
Ty Dolla $ign,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,80,4328394,https://i.scdn.co/image/ab6761610000e5ebd9dde4a54073dbd58fb91c7d
Gilbert Kaplan,spotify:artist:5HAqwGXbWhRcjOqDvq2cHB,40,374,https://i.scdn.co/image/ab67616d0000b273d922833c60e1cf19f13d12b8
Jonathan Groff,spotify:artist:7KkqUt65v6LMtR369OQ6FB,62,100734,https://i.scdn.co/image/ab6761610000e5eb07ccc2fd86f64d13368998de
The Swingle Singers,spotify:artist:2Rn34e82tV2YfbLfP1omlS,26,1094,https://i.scdn.co/image/ab6761610000e5eba6bffc5b4d567301e3706fc9
MOMOLAND,spotify:artist:5RR0MLwcjc87wjSw2JYdwx,56,3444802,https://i.scdn.co/image/ab6761610000e5eb4d4b74165ecfadcacf0771ae
Kawaguchi Yurina,spotify:artist:3snqW31jInsZwoYRZTaixr,32,19477,https://i.scdn.co/image/ab6761610000e5ebaaa9e8d56241a48b8f6422b2
