danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_uri
0.22,0.042,11,-30.613,0,0.0496,0.991,0.847,0.0795,0.291,174.212,3,spotify:track:0004INO1s16Z8VSdewvTak
0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,4,spotify:track:003vvx7Niy0yvhvHt4a68B
0.486,0.0282,10,-26.924,1,0.0457,0.995,0.922,0.0978,0.32,109.562,4,spotify:track:004a5pvn9FmiF9jTujKiJp
0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4,spotify:track:00Mb3DuaIH1kjrwOku9CGU
0.373,0.897,10,-4.052,1,0.0702,7.51e-06,0.151,0.0676,0.369,87.477,4,spotify:track:00nmZvZRyzQiYe2tAcDDUb
0.203,0.362,6,-9.912,1,0.0409,0.872,0.000108,0.0797,0.0814,78.559,3,spotify:track:00pw67OZKJyzydY9N2Orui
0.197,0.0216,10,-35.663,0,0.0374,0.386,2.04e-06,0.0551,0.0357,112.586,4,spotify:track:00rr9bcpswlDp38RmgNWws
0.581,0.719,1,-4.282,0,0.0317,0.0253,0.0,0.212,0.846,170.016,4,spotify:track:011Dg8Hkelamb0hAuaijWd
0.606,0.85,11,-3.952,1,0.183,0.0114,1.01e-06,0.206,0.542,170.01,4,spotify:track:01380RE6UfsPSdiUIwrCoH
0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608,4,spotify:track:01SfTM5nfCou5gQL70r6gs
0.398,0.0354,11,-28.002,0,0.0371,0.949,0.8,0.122,0.22,129.783,4,spotify:track:01sFYbEnNAR4ZBChyKR1XG
0.175,0.0113,10,-33.083,0,0.0477,0.95,0.654,0.0981,0.0346,81.244,4,spotify:track:01toQ1HaV4k4aUqWqNsdJe
0.611,0.864,6,-2.345,0,0.0654,0.00852,1.68e-06,0.136,0.455,152.02,4,spotify:track:021L6LlBBtr34BmFRHd9Ic
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,spotify:track:02MWAaffLxlfxAUY7c5dvx
0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4,spotify:track:02VBYrHfVwfEWXk5DXyf0T
0.523,0.656,4,-7.441,0,0.0262,0.511,0.16,0.0679,0.214,104.271,4,spotify:track:02ppMPbg1OtEdHgoPqoqju
0.156,0.0672,5,-28.345,1,0.0396,0.988,0.855,0.108,0.0353,96.007,3,spotify:track:02wPB0VvxA5DRX9opniy9p
0.752,0.65,5,-6.683,0,0.12,0.653,0.00136,0.105,0.532,134.993,4,spotify:track:02wk5BttM0QL38ERjLPQJB
0.407,0.0206,2,-18.471,1,0.05,0.983,0.953,0.0848,0.204,123.055,4,spotify:track:02ys9P2W1zcsnWAw9LbaRD
0.622,0.758,7,-6.236,1,0.0469,0.000315,0.00344,0.127,0.237,144.991,4,spotify:track:03HYOtfzbzx0HPHMcfLFOe
0.105,0.0406,0,-26.539,0,0.0396,0.987,0.886,0.12,0.0395,83.372,3,spotify:track:03JOtXKbbCnjgbska9eddP
0.101,0.0938,9,-27.079,1,0.0469,0.936,0.791,0.342,0.04,168.802,4,spotify:track:03TgTnAaYjAU2D89YrStjr
0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,4,spotify:track:03UrZgTINDqvnUMbbIMhql
0.306,0.0989,8,-27.391,1,0.0379,0.987,0.906,0.24,0.328,134.04,4,spotify:track:03VKTfzUvj7dzWHn5vmbH4
0.535,0.716,9,-3.596,0,0.0278,0.158,1.91e-06,0.0937,0.615,140.032,4,spotify:track:03XONBRA5fulEuMs7gNQ05
0.466,0.236,1,-7.952,1,0.0301,0.843,0.0,0.183,0.207,135.12,3,spotify:track:03ZafJ5f3rfyF9fSB8JkX8
0.302,0.385,4,-5.45,1,0.0319,0.846,0.0,0.0808,0.351,168.222,3,spotify:track:03foRBkthqRkysYT7FxWZV
0.505,0.717,8,-5.097,1,0.0457,0.00796,6.15e-05,0.0971,0.462,158.054,4,spotify:track:03kCR9HZpX5muU7D8xYPOL
0.609,0.717,6,-3.547,0,0.0597,0.0965,0.0,0.0694,0.545,97.026,4,spotify:track:03qu1u4hDyepQQi2lNxCka
0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,4,spotify:track:03tqyYWC9Um2ZqU0ZN849H
0.753,0.815,5,-4.857,1,0.0613,0.0313,1.74e-06,0.191,0.567,106.998,4,spotify:track:03wvlNaxFKB9sge4U6vyPE
0.673,0.42,4,-7.581,1,0.0317,0.112,0.0,0.0897,0.385,108.066,4,spotify:track:03xWMkKEbeO4SnylA53ipj
0.379,0.0523,7,-30.336,1,0.0766,0.979,0.743,0.136,0.311,173.625,4,spotify:track:043cfi7SrTRdEoIcFs1i3e
0.431,0.352,8,-9.335,1,0.0275,0.742,0.0,0.148,0.246,94.915,3,spotify:track:04BcODyhCDTV7SBFeJHOXe
0.54,0.628,7,-13.818,0,0.0354,0.276,0.54,0.278,0.533,127.941,4,spotify:track:04IcSgYzMaGKJsfYJ6cs8s
0.509,0.358,7,-14.542,1,0.337,0.735,0.0,0.181,0.68,117.59,1,spotify:track:04LkB4linu702YDzlrQNDi
0.196,0.0142,3,-29.649,1,0.0387,0.987,0.877,0.0948,0.0666,74.798,4,spotify:track:04Vw5tlqRgimrmWnbuDI2O
0.586,0.236,9,-15.992,1,0.0819,0.85,8.92e-05,0.27,0.325,77.539,4,spotify:track:04glHdRn4SgTADxKoKzOoO
0.187,0.0615,10,-19.775,0,0.0346,0.923,0.929,0.136,0.0736,64.022,4,spotify:track:04l27PkpdTLSNXE1ZHtlkA
0.487,0.71,10,-5.636,1,0.0718,0.107,0.0,0.0915,0.819,88.033,4,spotify:track:04nemEju86ULMJ1iy6EAsF
0.77,0.771,6,-2.849,1,0.117,0.0956,0.0,0.302,0.911,137.893,4,spotify:track:04qiPs2ScJrI7hgQ8mz4im
0.689,0.729,7,-5.801,1,0.225,0.273,0.0,0.059,0.773,97.057,4,spotify:track:057xGYST5exVyNevufrioZ
0.463,0.297,4,-12.147,0,0.0323,0.664,0.0,0.0601,0.301,115.745,4,spotify:track:05HjafWVI238CLw5RDNkas
0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,4,spotify:track:05NYcsjJwOYq4jIiKPVj9p
0.716,0.779,9,-3.735,0,0.0589,0.0106,0.0,0.0266,0.442,119.932,4,spotify:track:05RlBHEZg1RmL9DnPgv9Qq
0.723,0.49,9,-14.745,0,0.0296,0.111,0.0946,0.0923,0.795,129.012,4,spotify:track:05oETzWbd4SI33qK2gbJfR
0.286,0.115,10,-23.166,1,0.0541,0.966,0.808,0.165,0.475,150.83,4,spotify:track:05sFtfNGSjuKGld0YiL2ZM
0.324,0.265,2,-13.398,1,0.0302,0.0732,0.341,0.366,0.208,133.568,4,spotify:track:05uGBKRCuePsf43Hfm0JwX
0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4,spotify:track:05wIrZSwuaVWhcv5FfqeH0
0.261,0.0121,11,-30.288,1,0.037,0.991,0.822,0.0865,0.0571,139.027,4,spotify:track:068BPNYklLpBX6VhMCKsUX
0.753,0.647,6,-7.606,0,0.0867,0.207,0.000649,0.15,0.274,119.994,4,spotify:track:06I6iDFVtZDGcRu9BgHraA
0.303,0.0315,3,-31.423,1,0.0452,0.995,0.904,0.0896,0.131,92.958,3,spotify:track:06NH4UeSKzEL6zRl1u07wC
0.692,0.542,11,-7.9,0,0.197,0.493,2.75e-06,0.247,0.285,105.005,4,spotify:track:06O3hxudc6V0BOuoCFSy71
0.589,0.453,7,-8.912,1,0.0397,0.703,2.54e-05,0.134,0.513,139.148,4,spotify:track:06RdYCp0UxsBtWsonHfSZz
0.397,0.115,3,-27.17,1,0.0465,0.989,0.909,0.125,0.158,139.218,3,spotify:track:06WBwk3ploTpWPjgM2jdF0
0.81,0.379,4,-7.771,1,0.0349,0.241,0.0,0.113,0.22,103.981,4,spotify:track:06WgOCf0LV2h4keYXDRnuh
0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935,4,spotify:track:06XQvnJb53SUYmlWIhUXUi
0.444,0.116,4,-23.172,0,0.041,0.977,0.868,0.0862,0.512,150.319,4,spotify:track:06am46cX3Z6YlSsg0TyVHA
0.835,0.628,8,-3.609,1,0.043,0.257,0.0,0.0964,0.866,133.006,4,spotify:track:06v5p9PbGF6R0fbxGwMdlX
0.39,0.344,1,-7.804,1,0.0376,0.082,0.000141,0.0715,0.244,178.102,4,spotify:track:06wTEKL2rSrSaOjFtgG8fj
0.751,0.87,4,-2.551,0,0.0713,0.00653,0.0,0.077,0.412,103.019,4,spotify:track:078fJxqEUz0LvbHSM6AoXJ
0.399,0.00168,11,-39.779,1,0.0496,0.985,0.887,0.0953,0.0367,133.841,4,spotify:track:07D7JKZN8FtTneq1ffuNis
0.315,0.105,2,-24.501,1,0.0364,0.992,0.926,0.07,0.0701,73.308,4,spotify:track:07EzJ4VrpLaQtTzKyOAH3w
0.567,0.789,5,-5.986,1,0.115,0.0156,0.0,0.382,0.438,163.96,4,spotify:track:07NxDD1iKCHbAldceD7QLP
0.418,0.409,5,-17.573,0,0.0347,0.054,0.16,0.185,0.692,132.147,4,spotify:track:07dVfTwBjqFK0AdNqnvTPV
0.163,0.111,2,-23.613,0,0.0415,0.994,0.88,0.139,0.0374,130.391,4,spotify:track:07rzxAXZHLhV0kGR0zNDIn
0.527,0.869,10,-4.603,1,0.0329,0.141,9.42e-06,0.0953,0.294,137.974,4,spotify:track:08ANRBOA33Hfn4shVjNBwi
0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966,4,spotify:track:08Bfk5Y2S5fCxgxk371Eel
0.394,0.225,6,-9.198,1,0.0301,0.931,6.78e-05,0.0986,0.19,113.768,4,spotify:track:08Bp5AoOyjDsTNBlSkWTgI
0.208,0.137,5,-25.437,1,0.0438,0.987,0.000349,0.541,0.0822,75.098,4,spotify:track:08FShoZ7Nc5LsBv3W9oQK0
0.279,0.0246,11,-28.045,1,0.05,0.992,0.913,0.102,0.0689,76.515,1,spotify:track:08GWfq6GjYQ63lPKTrTMOb
0.415,0.266,0,-8.44,1,0.0308,0.957,1.18e-06,0.183,0.282,138.096,4,spotify:track:08YJEcxGtYXwCGqXMZDiyQ
0.568,0.014,7,-30.515,0,0.0342,0.99,0.806,0.107,0.363,146.75,4,spotify:track:08d37IkFf4ftF06OeCbBmU
0.354,0.267,1,-13.69,1,0.0281,0.731,0.000402,0.0858,0.113,94.219,4,spotify:track:08fa9LFcFBTcilB3iq2e2A
0.281,0.779,7,-5.104,1,0.0514,0.0437,0.0,0.37,0.344,167.172,4,spotify:track:08kTO4EW0jb07zNsCNM83w
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,spotify:track:08mG3Y1vljYA6bvDt4Wqkj
0.652,0.917,4,-2.096,0,0.144,0.132,3.85e-06,0.324,0.26,89.951,4,spotify:track:08pPhcvPmphUEx3pEBZwGZ
0.328,0.163,8,-15.562,1,0.0454,0.756,0.000152,0.341,0.0529,124.68,1,spotify:track:08w39owyASWYcB9lO30DRC
0.336,0.0236,1,-26.374,1,0.0397,0.979,0.915,0.198,0.0381,112.889,4,spotify:track:08wPzTIkAGQ8GdCmVQxvIE
0.734,0.574,2,-6.179,1,0.0319,0.0794,3.46e-05,0.0582,0.795,109.972,4,spotify:track:08xsxiuRjKDOmNJWdWdhRO
0.37,0.448,0,-9.217,0,0.0634,0.524,0.0,0.104,0.34,68.045,4,spotify:track:09SIbdUVr34sBd7Uwwt63J
0.328,0.035,10,-27.12,1,0.0348,0.988,0.914,0.289,0.25,141.563,4,spotify:track:09TzZIZStFNY1Kza5CEgRr
0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,4,spotify:track:09gysnJpfQ3ublBmJDfcEC
0.543,0.0503,6,-20.073,1,0.0345,0.975,0.843,0.206,0.397,90.592,5,spotify:track:09lmHgk6RgtzK2uszcrSVM
0.15,0.032,9,-24.349,0,0.0534,0.965,0.488,0.079,0.071,81.869,4,spotify:track:0A5oxICmtISYvCLCKY5BZs
0.645,0.844,6,-1.612,0,0.0383,0.0261,0.000238,0.0767,0.731,143.957,4,spotify:track:0AABiBAIYQCMpLI0ODbDDL
0.729,0.8,0,-4.523,0,0.0499,0.63,3.27e-06,0.225,0.737,104.979,4,spotify:track:0AAEFC3RGirgzRFhi44Y79
0.515,0.321,4,-9.851,0,0.0742,0.841,5.75e-05,0.338,0.242,153.024,4,spotify:track:0ACt3PP22HyKfpFIV6AQUW
0.183,0.0363,4,-22.905,0,0.0356,0.929,0.74,0.0934,0.0853,76.406,4,spotify:track:0ADhD2DsEi5OTt21ljNUBz
0.82,0.686,0,-5.102,1,0.038,0.00412,0.0,0.184,0.668,110.058,3,spotify:track:0ARKW62l9uWIDYMZTUmJHF
0.6,0.902,7,-3.357,1,0.059,0.03,0.000308,0.175,0.791,173.925,4,spotify:track:0AZ5C3305mRKWX1x0hDF39
0.569,0.365,9,-7.047,1,0.0265,0.691,0.0,0.17,0.508,145.859,4,spotify:track:0AkZjWYCMJ8wWiNex7LmkY
0.285,0.0686,9,-22.336,1,0.0549,0.959,0.427,0.158,0.269,89.923,3,spotify:track:0AtBrNtW0crqbSyUtwNykS
0.301,0.462,6,-8.55,1,0.036,0.834,1.75e-05,0.122,0.137,136.095,4,spotify:track:0AtHUIDAkXWgpbD0QkyKgi
0.438,0.201,5,-15.276,1,0.0521,0.962,0.149,0.0743,0.256,143.109,4,spotify:track:0B6iCn4MMDxJcITauM59XQ
0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,4,spotify:track:0BCPKOYdS2jbQ8iyB56Zns
0.682,0.697,3,-4.276,0,0.0757,0.188,0.0,0.334,0.57,95.012,4,spotify:track:0BD9boQC7jUTWkAoib4Z0d
0.786,0.858,11,-3.74,1,0.0675,0.0487,0.0,0.126,0.649,112.999,4,spotify:track:0BJMgVrnWIvgYsjq8KaPeh
0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,4,spotify:track:0BTaaKT4RMbs5M73tOHX5Y
0.338,0.304,8,-13.178,1,0.0914,0.796,0.0,0.182,0.164,86.288,1,spotify:track:0BeS5hJXm3yzubCswEC8TQ
0.67,0.736,11,-4.811,0,0.105,0.07,0.0,0.091,0.512,97.974,4,spotify:track:0BeqHPNJSLzfH8TZ7Adpb3
0.744,0.963,7,-1.525,1,0.0616,0.136,1.86e-06,0.0836,0.788,102.985,4,spotify:track:0BhMw9r3eOLMLXRFBLCt6O
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,4,spotify:track:0ByMNEPAPpOR5H69DVrTNy
0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362,3,spotify:track:0CJuLeZpCdqrqoCMXWZw8k
0.857,0.7,4,-4.189,0,0.074,0.0411,0.0,0.0334,0.773,93.997,4,spotify:track:0CatzXH85XWyBqqdB6qPMB
0.489,0.389,8,-21.932,1,0.0374,0.992,0.931,0.111,0.893,127.674,4,spotify:track:0CeyjRUCfoltQmSTVL1h3M
0.389,0.0352,5,-28.477,1,0.0468,0.991,0.891,0.0832,0.209,127.789,4,spotify:track:0Ch2tX7Twc0dIahY3DSLD5
0.184,0.00782,11,-37.117,0,0.0468,0.0524,0.0645,0.0888,0.0323,106.38,3,spotify:track:0CmKuDto0oNAYzBOzjDjqV
0.726,0.963,9,-1.111,0,0.0916,0.0429,0.00157,0.128,0.769,126.062,4,spotify:track:0CnpSTdL9l5vQM4YnzXtyo
0.489,0.597,5,-6.633,0,0.0292,0.27,0.0,0.105,0.324,95.012,4,spotify:track:0Cy7wt6IlRfBPHXXjmZbcP
0.644,0.879,5,-1.761,0,0.0689,0.136,0.0,0.164,0.658,81.025,4,spotify:track:0CyydmXI4QhgUWrZsPOTXA
0.807,0.501,10,-6.397,0,0.0377,0.645,1.53e-05,0.262,0.401,94.958,4,spotify:track:0DYvTdqBqW6erA1a7pFzVo
0.815,0.861,5,-3.998,1,0.172,0.107,2e-06,0.0982,0.85,94.981,4,spotify:track:0DdbiN1gW1t4MU7tQ91eTW
0.448,0.196,5,-16.232,0,0.0525,0.983,0.883,0.0917,0.164,120.46,4,spotify:track:0DfiTn1LUUcaLHYMDofEv7
0.613,0.697,2,-8.618,1,0.133,0.0194,0.0,0.332,0.476,122.746,4,spotify:track:0DiWol3AO6WpXZgp0goxAV
0.66,0.831,4,-8.195,1,0.0557,0.204,0.0,0.736,0.43,105.32,4,spotify:track:0Dw9z44gXhplDh5HCWZIxP
0.295,0.119,1,-25.867,1,0.0344,0.99,0.898,0.135,0.639,93.462,4,spotify:track:0Dy23NaykLsmz6VM0lUJ9e
0.577,0.72,6,-4.737,1,0.0324,0.00475,0.0,0.123,0.392,109.938,4,spotify:track:0DyToChmZxd4js5BY9Jf2G
0.436,0.228,5,-18.211,0,0.0349,0.904,0.863,0.52,0.491,92.287,4,spotify:track:0EJIwpF1aRZ7vW9ihTlb5T
0.549,0.903,1,-1.483,0,0.045,0.178,0.0,0.0682,0.513,150.009,4,spotify:track:0EMD15EVNwDlgGH2CH6ZEL
0.603,0.811,2,-3.318,0,0.0379,0.0663,0.0,0.404,0.549,89.995,3,spotify:track:0Eglu3fErlG196PtTwCUPM
0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,4,spotify:track:0EhpEsp4L0oRGM0vmeaN5e
0.403,0.125,9,-22.741,1,0.046,0.984,0.896,0.098,0.203,124.584,4,spotify:track:0Enb2uwLWzhszdFVvXR9GN
0.745,0.487,1,-8.943,1,0.029,0.459,0.0,0.271,0.87,107.992,4,spotify:track:0ErjxyZ4qHQVs5umCBIClk
0.787,0.543,10,-6.7,0,0.037,0.0233,0.0,0.0861,0.332,99.026,4,spotify:track:0ErzcmZ2gIwX7X0xSMQPix
0.277,0.0879,4,-18.811,0,0.0339,0.986,0.598,0.208,0.186,99.146,4,spotify:track:0EspVDVsYSaURv8yiilNxJ
0.191,0.0679,0,-15.114,1,0.0401,0.911,0.0315,0.0754,0.0624,81.107,4,spotify:track:0F8VLTQGhNjBi1ltbVerdE
0.48,0.584,5,-4.263,0,0.0441,0.606,0.0,0.203,0.349,115.879,3,spotify:track:0F9Xy6OTbkqOv94pklkwKu
0.297,0.067,8,-21.404,1,0.0398,0.992,0.788,0.0777,0.0594,87.677,4,spotify:track:0FBJ5Ctk5r4wlVJsFoV8Ta
0.346,0.0974,8,-20.791,1,0.0516,0.972,0.0754,0.187,0.181,109.831,3,spotify:track:0FDBvZ6wjjGW15jlH3vVFt
0.77,0.711,7,-5.446,1,0.0624,0.0299,7.07e-05,0.0781,0.618,95.023,4,spotify:track:0FGeJSm4Iix7OdvjvENrwx
0.654,0.303,5,-13.943,0,0.126,0.755,0.159,0.0957,0.168,160.095,4,spotify:track:0FfqyjhB6Kspvit1oOo7ax
0.347,0.0817,7,-19.954,1,0.058,0.896,3.64e-05,0.31,0.0574,86.652,4,spotify:track:0FwP3tsHCfmMJDe0vEkRUG
0.728,0.869,7,-3.372,1,0.184,0.103,0.0,0.0606,0.6,159.912,4,spotify:track:0GG5yUUUwoyV7I4qx54mmC
0.62,0.799,3,-3.969,0,0.145,0.553,0.0,0.926,0.784,98.091,4,spotify:track:0GMJCCfFZpAw9NVnpZjJTV
0.68,0.878,5,-4.791,0,0.179,0.0028,2.22e-05,0.336,0.531,127.991,4,spotify:track:0GUbhhI5fRx7BlqlqlhjuB
0.745,0.74,10,-5.719,0,0.0697,0.116,0.0,0.117,0.544,120.014,4,spotify:track:0GWYApQBwErVPkyXYCTJjI
0.681,0.525,9,-4.823,1,0.0512,0.619,0.0,0.103,0.551,80.052,4,spotify:track:0GsRx0gPft6RmijIwMsKmG
0.195,0.12,10,-22.448,1,0.0411,0.95,0.923,0.277,0.0381,134.649,3,spotify:track:0GxPxabpWTGYQyvxsPLCiM
0.387,0.117,8,-23.217,1,0.04,0.989,0.914,0.0983,0.209,116.469,4,spotify:track:0GxccwYQdYlL6dtaIjQZbk
0.82,0.901,9,-2.712,0,0.111,0.0289,1.7e-06,0.215,0.815,124.988,4,spotify:track:0H76idYK173LwctmFntEdz
0.334,0.0553,9,-20.931,0,0.0467,0.927,0.521,0.421,0.252,74.356,4,spotify:track:0H9IxK78CYvsvIWa3fNpdS
0.633,0.396,6,-8.342,0,0.0267,0.111,0.124,0.321,0.287,106.967,3,spotify:track:0HEA0fIQiqOCQBcHd8PdXo
0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,4,spotify:track:0HEmnAUT8PHznIAAmVXqFJ
0.211,0.14,10,-21.786,1,0.0379,0.99,0.000441,0.104,0.153,86.835,4,spotify:track:0HFIawlgXNMh01tMP3rur4
0.19,0.00262,0,-38.545,1,0.0381,0.972,0.14,0.0701,0.121,49.526,4,spotify:track:0HOEqW7pRiickxkOcC3Djm
