artist_mbid,other_mbid,relationship_type
00119b04-e793-419a-8534-4fb768fc5642,69689acf-d9cd-4d20-a972-47db4ed51b1a,member of band
0042c402-7e7d-424d-a903-24a3b93d15f1,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
00929331-8a98-4651-9052-6feaf0458b81,79491354-3d83-40e3-9d8e-7592d58d790a,member of band
00d00be3-34eb-4e44-89ca-e13ed23b51b5,4dc14f03-40b5-4268-8965-8e64fedb0798,member of band
00d00be3-34eb-4e44-89ca-e13ed23b51b5,fe038151-1099-4de8-901b-39be66d6e493,member of band
00f373e0-9a1d-4093-847f-eb624ed23a85,3215abba-8403-49a2-83f9-d0e50177385d,member of band
00fc124e-6645-4530-8d0b-7def83c5ee25,9c9f1380-2516-4fc9-a3e6-f9f61941d090,member of band
010dae07-caed-448f-91cb-d8ba9b2d9946,cf0dbc16-4e24-4957-b5b4-955c8978f690,member of band
0120a497-1779-4a8b-9a05-f08f88ecf3a7,f5bff650-07d0-4f8c-bf48-45497f465b79,member of band
0122f6a2-36b1-44f2-a5a5-70667b9ddc5b,42976ddb-0ad5-4baa-9304-f31d7d84e3e0,member of band
0122f6a2-36b1-44f2-a5a5-70667b9ddc5b,ec08184a-1794-4cfe-a1f2-fbf0e14f81eb,member of band
01437bb9-cb54-4d42-a6c2-d02adf0636a3,cf0dbc16-4e24-4957-b5b4-955c8978f690,member of band
01497ba1-dabc-4d14-bec9-e97ab250159a,2df0469f-b49e-4e4e-bfb4-0a98b399f5e2,member of band
01497ba1-dabc-4d14-bec9-e97ab250159a,40017bd7-139b-4998-8688-9b2478ad3325,member of band
016313a5-6dce-4957-aa1f-bd9c8ed920ab,66acfbaf-a28e-49c1-aeff-ef92e4358d90,is person
016e5de8-f7ad-43e5-97c0-99152f7b59af,f2e33434-ec54-4983-a05b-5b15cb3a3a49,is person
018947ad-74bc-4628-89bf-23f4cf142762,62814dab-64fe-4b70-b870-81c0145ba552,member of band
019112cf-7bc7-4c71-9c62-e887a4d22baa,e04d239e-9fa8-49b3-b9b7-9e439c3cb1d1,member of band
01b8b5bf-06cb-45da-85fb-61ada72fcd69,e565610b-9a8f-451d-b594-ea658d76f725,member of band
01bacd54-d063-42b4-b50a-5e992185a43a,483b7ad8-6015-41aa-9d4e-efb45a08a62e,is person
01e04a31-2688-4c00-ad18-a63ad46ce005,58dccd50-1dcf-4674-8ba6-31058695d24d,member of band
01e04a31-2688-4c00-ad18-a63ad46ce005,bc9d6c78-c26f-49cf-8a9c-2f8888553798,member of band
0200ba5e-1690-43b8-95f5-90f613c5b930,bf081017-e5ec-44b8-a5e6-d0401d0b6828,member of band
02031e5c-f9ab-4b4e-bc08-a61ea11a455d,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,member of band
02031e5c-f9ab-4b4e-bc08-a61ea11a455d,f73b674b-8051-423d-9f1e-b173913d166a,is person
022589ac-7177-460d-a178-9976cf70e29f,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,member of band
02539892-0311-46bb-b874-8dc869907daf,527973c7-9a9f-40bf-a52c-8cc2a7115c1a,member of band
02a1df23-ef1b-4891-b4ee-81d2b85024aa,eeb1195b-f213-4ce1-b28c-8565211f8e43,member of band
02acf68e-7679-4951-8c6d-ac3d4d9f21e5,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
02b005ae-a407-4c9c-8987-ce527ebdba5d,187da628-d21a-4e0f-a93c-456c97a2c032,member of band
0306016b-331c-4519-b51e-f11dfc217455,e3de2369-0586-4f62-8613-701eca4bba89,is person
031e4b1f-460d-487d-ab01-9bae0992d4bc,b7ffd2af-418f-4be2-bdd1-22f8b48613da,member of band
0330b8ee-e1de-458e-8ca6-f2383cb29cde,8da127cc-c432-418f-b356-ef36210d82ac,member of band
0330b8ee-e1de-458e-8ca6-f2383cb29cde,e148e786-f078-49e2-a9fb-fd044bd68905,member of band
0341e982-8db8-4daa-a974-c7b6f27b2e66,b7442f18-d9be-4185-8b51-482510046156,member of band
035c71e9-b710-4db4-8307-890ad4cf0374,9c15986d-ff1f-4d91-9708-f50f7445884f,member of band
035c71e9-b710-4db4-8307-890ad4cf0374,9d17d14a-e81c-410e-a90b-b02b0a9de6f8,member of band
037b679d-ab3c-4434-a38b-74700ee48890,2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,member of band
03905a8e-5c66-442c-9ada-60a0f5a76783,8da127cc-c432-418f-b356-ef36210d82ac,member of band
0391efc7-0105-4c87-a0ac-4665e1119ba8,49948ebe-bf1c-4823-b470-f2c9ab018686,member of band
0391efc7-0105-4c87-a0ac-4665e1119ba8,b2f2216a-d7a9-4ce0-8b8f-f494d9a8c196,member of band
03aba063-42f7-47c6-9974-6a6ab24a0b53,022589ac-7177-460d-a178-9976cf70e29f,is person
03aba063-42f7-47c6-9974-6a6ab24a0b53,1d4f6552-6948-4f31-819c-a2858f0aad12,is person
03dd79b1-05e1-4e2f-95ba-16158a11a887,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
03df9375-5518-4ebe-baab-fc6155b5ff32,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0407a14a-8430-489d-8c26-e6a328bd93d4,0ab49580-c84f-44d4-875f-d83760ea2cfe,artist rename
04617771-a7e2-4a8d-a873-72e8365a21c0,2d623e82-73e2-4179-9c44-e963980f2d58,member of band
04ad638c-aefc-412c-8931-54c3a0680073,e57f0cac-4f56-473c-8d7e-d93f753fd586,member of band
04b72a7b-188f-4936-a86e-e3ad860ebd98,012151a8-0f9a-44c9-997f-ebd68b5389f9,member of band
04bf16e1-d371-45ca-b1e0-3efbb571939f,9c15986d-ff1f-4d91-9708-f50f7445884f,member of band
04bf16e1-d371-45ca-b1e0-3efbb571939f,dc7c8277-d4b6-4bca-bdfe-50eee42536ac,member of band
04c39fec-5b44-4f11-9c73-af4f562334c7,509d1ba6-dcf4-4ed1-a422-157ecdffef72,member of band
04d93730-f81c-450c-8441-d5f5fcf98485,e565610b-9a8f-451d-b594-ea658d76f725,member of band
04e3a60e-5f8c-42f6-b4b8-4885adbf7b7d,826138a0-c7d5-47cf-ac62-8e389f7b9c18,is person
05517043-ff78-4988-9c22-88c68588ebb9,290ab80e-8be6-4b3d-80ef-7d2ef876735f,is person
05517043-ff78-4988-9c22-88c68588ebb9,5d02f264-e225-41ff-83f7-d9b1f0b1874a,member of band
05681492-4647-45ae-916f-c87087ce2199,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
