artist_mbid,artist_mb_name,artist_sort_name,artist_disambiguation,artist_type,artist_area,artist_birthplace,artist_start_date,artist_end_date,artist_gender
0006ca8a-2a9b-4127-ac10-bb43251d186c,Kevin Turcotte,"Turcotte, Kevin",,Person,Canada,,1964-01-22,,Male
00119b04-e793-419a-8534-4fb768fc5642,Zak Rizvi,"Rizvi, Zak",guitarist & engineer,Person,New York,,,,Male
00136dd9-1047-4999-af1f-d709c5fa09f9,Andrew Watt,"Watt, Andrew",,Person,United States,New York,1990-10-20,,Male
001d1147-4502-4c63-806b-69ee1c178492,Romano,Romano,producer,Person,,,,,
0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,Death Cab for Cutie,Death Cab for Cutie,,Group,United States,Bellingham,1997,,
0039cd9c-ea95-4553-86c4-4f729984cc2f,Dann Huff,"Huff, Dann",,Person,United States,Nashville,1960-11-15,,Male
0042c402-7e7d-424d-a903-24a3b93d15f1,上村彩子,"Uemura, Ayako",,Person,Japan,Saitama,1986-02-07,,Female
0043ad57-540a-4a99-9751-40cd9b2a5b90,Didrik Thott,"Thott, Didrik",,Person,Sweden,,,,Male
0047516d-8583-47d5-bfdd-e39a6c348492,Chris Eldridge,"Eldridge, Chris",,Person,,,,,
0054b908-603f-411f-bb54-6d38ff893d21,BLAER,BLAER,,Group,Switzerland,,2014,,
0068ae6c-7156-40f9-a81f-39294af6a549,(G)I-DLE,(G)I-DLE,,Group,South Korea,Seoul,2018-05-02,,
00764036-3f70-4336-b4ff-b0b7179f3df1,Mark Jackson,"Jackson, Mark",ex-member of Dorothy,Person,United States,,,,Male
0080cace-36e2-46c6-8ac2-b4729b805244,Robert Allen,"Allen, Robert","songwriter, e.g. Disturbia by Rihanna",Person,United States,,1985-06-02,,Male
00929331-8a98-4651-9052-6feaf0458b81,Nick Simper,"Simper, Nick",,Person,United Kingdom,,1945-11-03,,Male
0096dacb-2d85-4f16-8b6c-188129c0ef49,Sergio Vallín Loera,"Vallín Loera, Sergio",,Person,Mexico,Ciudad de México,1973-05-26,,Male
009a7dd6-1893-413e-a0f8-fb7b5b4953c8,Josh Kerr,"Kerr, Josh",,Person,United States,,,,Male
009dbeb4-4205-4648-bcf0-81c96e385f29,W.A. Mozart,"Mozart, W.A.","Pseudonym of Michael Jackson used for ""The Simpsons"" compositions",Person,,,,,Male
00a0e8b0-cfc1-464b-8450-581842c08818,Brett James,"James, Brett","American singer, songwriter and record producer",Person,United States,Columbia,1968-06-05,,Male
00a3a3f5-29b5-4b08-8e52-c2b045e7eb21,The Bayou Bruce Steppers & Entourage,The Bayou Bruce Steppers & Entourage,,Group,United States,,,,
00a9f935-ba93-4fc8-a33a-993abe9c936b,Nightwish,Nightwish,Finnish symphonic metal,Group,Finland,Kitee,1996-07,,
00ba173d-5a5d-4578-9e17-6c93973694ee,Noto,Noto,Alva Noto,Person,Berlin,Chemnitz,1965-09-18,,Male
00c49f40-d715-4b79-b223-432048602cce,Indigo Girls,Indigo Girls,,Group,United States,Atlanta,1985,,
00d00be3-34eb-4e44-89ca-e13ed23b51b5,박건욱,"Park, Gun-wook",,Person,South Korea,,2005-01-10,,Male
00d0f0fa-a48c-416d-b4ff-25a290ce82d8,half•alive,half alive,,Group,United States,Long Beach,2016,,
00dc1927-dc94-4587-bb69-83b717499be2,박경리,"Park, Kyungri",,Person,South Korea,,1990-07-05,,Female
00e54a9e-cb9b-4178-8a6e-a4727f6108e0,Jeppe London Bilsby,"Bilsby, Jeppe London",,Unknown,,,,,
00f373e0-9a1d-4093-847f-eb624ed23a85,COACH,COACH,Member of Coach & Sendo,Person,,,,,
00fc124e-6645-4530-8d0b-7def83c5ee25,Matt Bellamy,"Bellamy, Matt",Muse vocalist,Person,United Kingdom,Cambridge,1978-06-09,,Male
0103c1cc-4a09-4a5d-a344-56ad99a77193,Avril Lavigne,"Lavigne, Avril",,Person,Canada,Belleville,1984-09-27,,Female
0104ac37-2c18-434f-bd3c-fb4bf4d13e08,Don Swan,"Swan, Don",,Person,United States,,1904-06-28,1998-07-23,Male
010dae07-caed-448f-91cb-d8ba9b2d9946,강여상,"Kang, Yeo-sang",Ateez,Person,South Korea,Pohang,1999-06-15,,Male
0110c52b-3786-499a-917e-2129cdb1e422,Brownmark,Brownmark,,Person,,,,,
01199296-a478-49fd-8ec0-1da1e9146671,Bobbi Soxx,"Soxx, Bobbi",,Person,,,,,Male
0119e14d-521a-425f-974a-53657013aec5,CARSTN,CARSTN,,Person,Germany,,,,Male
011e8b3a-ed6a-4e3a-a97f-7c58c435f755,Snoopzilla,Snoopzilla,Snoop Dogg moniker for 7 Days of Funk,Person,United States,Long Beach,1971-10-20,,Male
0120a497-1779-4a8b-9a05-f08f88ecf3a7,SOYOU,SOYOU,,Person,South Korea,Jejudo,1992-02-12,,Female
012151a8-0f9a-44c9-997f-ebd68b5389f9,Imagine Dragons,Imagine Dragons,American pop rock band,Group,United States,Las Vegas,2008,,
0122f6a2-36b1-44f2-a5a5-70667b9ddc5b,엘라,Ella,former member of Cherry Bullet & PIXY,Person,South Korea,Busanjin District,1998-03-26,,Female
0133a1b6-0d7d-440f-aa73-77f3cf2758ee,Thomas Escovedo,"Escovedo, Thomas",,Person,,,,,Male
01437bb9-cb54-4d42-a6c2-d02adf0636a3,정우영,"Jung, Wooyoung",Ateez,Person,South Korea,Goyang,1999-11-26,,Male
0143ed6d-ab7a-4a9c-87c1-71b3aa026193,차이린,Chailin,,Unknown,South Korea,,,,
01497ba1-dabc-4d14-bec9-e97ab250159a,공유빈,"Gong, Yu-bin",tripleS,Person,South Korea,Yongin,2005-02-03,,Female
0150e9f9-1969-4b09-8c02-1b0da9827fac,John Fulford,"Fulford, John",,Person,,,,,
016313a5-6dce-4957-aa1f-bd9c8ed920ab,Priscilla Renea,"Renea, Priscilla",,Person,United States,Vero Beach,1988-09-14,,Female
016e5de8-f7ad-43e5-97c0-99152f7b59af,Peder Losnegård,"Losnegård, Peder",,Person,Tysvær,Tysvær,1992-10-26,,Male
01768d21-b661-4c22-9368-fa2aba32ea70,Mike Caffrey,"Caffrey, Mike",,Person,,,,,
017699d5-f7b0-4233-8bc2-174ef20a5d63,Ron Tutt,"Tutt, Ron",,Person,United States,Dallas,1938-03-12,2021-10-16,Male
01819720-2071-49ad-8e4f-d2f36e81a846,Co-sho,Co-sho,,Unknown,,,,,
018947ad-74bc-4628-89bf-23f4cf142762,Shoo,Shoo,,Person,South Korea,,1981-10-23,,Female
019112cf-7bc7-4c71-9c62-e887a4d22baa,WOOZI,WOOZI,,Person,South Korea,Busan,1996-11-22,,Male
01a97ea0-bae6-4727-b696-f3880a0e2715,Frederick Stewart,"Stewart, Frederick",,Person,,,1946-06-07,,
01b0461c-6f7d-4a95-9ab4-3bd7ebcba1d5,Claudius Mittendorfer,"Mittendorfer, Claudius","engineer, producer, mixer",Person,New York,,,,Male
01b8b5bf-06cb-45da-85fb-61ada72fcd69,Camila Cabello,"Cabello, Camila",,Person,United States,Cojímar,1997-03-03,,Female
01bacd54-d063-42b4-b50a-5e992185a43a,Jordan Reyes,"Reyes, Jordan",,Person,Chicago,,,,Male
01de9ea2-3ec6-46e7-a475-701aeedfbff8,Barry Sheffield,"Sheffield, Barry",,Person,United Kingdom,,,,Male
01e04a31-2688-4c00-ad18-a63ad46ce005,배유빈,"Bae, Yubin",,Person,South Korea,Chuncheon,1997-09-09,,Female
01e1ac3c-4db5-4eb0-8dbb-bc36e310c74a,Andrew Vastola,"Vastola, Andrew",engineer,Person,,,,,Male
01ee5185-7775-4dff-a6bc-104aae10b44a,Riccardo Damian,"Damian, Riccardo",recording engineer,Person,London,,,,Male
01feb429-864e-4d52-8ce8-dba8503b2cf0,Lars Kristian Rosness,Lars Kristian Rosness,,Person,,,,,Male
0200ba5e-1690-43b8-95f5-90f613c5b930,문정현,"Mun, Jung-hyun",EVNNE,Person,South Korea,South Korea,2005-03-31,,Male
02031e5c-f9ab-4b4e-bc08-a61ea11a455d,Benjamin Gibbard,"Gibbard, Benjamin",,Person,United States,Bremerton,1976-08-11,,Male
0206a1aa-ee62-4077-9c0b-40f8c6d2114b,Brian Rajaratnam,"Rajaratnam, Brian",,Person,,,,,Male
02087c26-4259-4811-8c10-6ee72f2791b1,Bob Johnston,"Johnston, Bob",American record producer,Person,United States,Hillsboro,1932-05-14,2015-08-14,Male
02138b2f-233a-49a5-9da8-527ac4342fbd,Paul Worley,"Worley, Paul",,Person,United States,,1950-02-16,,Male
02177ee9-4415-4f31-a166-fc57a9016d4f,Julia Easterlin,"Easterlin, Julia",,Person,United States,Augusta,1989-03-14,,Female
022589ac-7177-460d-a178-9976cf70e29f,Freddie Mercury,"Mercury, Freddie",,Person,United Kingdom,Stone Town,1946-09-05,1991-11-24,Male
022a6a35-9d0d-44aa-a068-c55cbe56c38b,Tom Ware,Tom Ware,80s New Wave,Unknown,,,,,
022fbf26-9d05-4ac8-8f4a-5e7f2eb359a2,Andrew Marshall,"Marshall, Andrew",drummer,Person,,,,,Male
0236d6ef-744a-4a71-a7e4-7e1030df609e,Roger Dawkins,"Dawkins, Roger",drummer,Person,,,,,Male
02527d3a-66d5-4774-bce8-b2939861e53d,Bert Courtley,"Courtley, Bert",,Person,United Kingdom,,1929-09-11,1969-09-13,Male
02539892-0311-46bb-b874-8dc869907daf,상연,Sangyeon,,Person,South Korea,,1996-11-04,,Male
02574c2b-0bff-4a6d-995b-4423973e4901,Boguslaw Kostecki,"Kostecki, Boguslaw",violinist,Person,United Kingdom,,,,Male
0266a15d-9020-4464-b4bd-eb6f34c2b5f5,Tracy Sands,"Sands, Tracy",,Person,,,,,
028e6f63-3245-4709-b784-de24fca07a6b,김경환,"Kim, Gyeong-Hwan",engineer,Person,,,,,Male
02934906-8645-4355-8260-e72945aa4b5c,Lowell Frank,"Frank, Lowell",engineer,Person,,,,,Male
0296d681-e21c-4db4-9c26-4f4df202552b,Sir Dogg,Sir Dogg,,Person,,,,,Male
02991b14-8e62-4461-a739-cbbab3db4ef2,Ella Feingold,"Feingold, Ella",,Person,,,,,Female
02a1df23-ef1b-4891-b4ee-81d2b85024aa,Ole Beich,"Beich, Ole",,Person,Denmark,Esbjerg,1955-01-01,1991-10-16,Male
02acf68e-7679-4951-8c6d-ac3d4d9f21e5,森川彩香,"Morikawa, Ayaka",,Person,Japan,Saitama,1996-03-24,,Female
02b005ae-a407-4c9c-8987-ce527ebdba5d,서영은,"Seo, Young-eun",Kep1er,Person,South Korea,Uijeongbu,2004-12-27,,Female
02c1cd90-f5c1-4536-ae73-1a586be0c761,Homies,Homies,Swiss HipHop,Group,Switzerland,,2002,,
02ceff75-7363-493e-a78d-912dc86c7460,The Black Crowes,"Black Crowes, The",,Group,United States,Atlanta,1989,,
02f314c0-2136-4172-8ea0-07149c77c722,Mike Stoller,"Stoller, Mike",,Person,Los Angeles,Belle Harbor,1933-03-13,,Male
02f8397a-af9e-419a-a0af-5b1dd22f4147,PATEKO,PATEKO,,Unknown,South Korea,,,,
0306016b-331c-4519-b51e-f11dfc217455,Mike Mogis,"Mogis, Mike",,Person,United States,,,,Male
030797d5-ec9e-4e7b-ac24-604ff13bcc8b,Chris Badroos,"Badroos, Chris",,Person,,,,,
0307edfc-437c-4b48-8700-80680e66a228,Whitney Houston,"Houston, Whitney",,Person,United States,Newark,1963-08-09,2012-02-11,Female
03172286-f7ed-4864-a4db-459cd5ca9790,Ciara,Ciara,American singer,Person,Atlanta,Austin,1985-10-25,,Female
03180405-1b26-42dc-80da-7e50fbb4c936,Ali Tamposi,"Tamposi, Ali",American songwriter and backing vocalist,Person,United States,West Palm Beach,1989-11-17,,Female
0319d75e-4100-4cd0-aa84-175335ed6e42,DJ Sneak,"Sneak, DJ",Chicago house DJ/producer,Person,United States,Puerto Rico,1969,,Male
031e4b1f-460d-487d-ab01-9bae0992d4bc,Ron Musarra,"Musarra, Ron",,Person,,,,,
0330b8ee-e1de-458e-8ca6-f2383cb29cde,SANA,SANA,TWICE,Person,South Korea,Osaka,1996-12-29,,Female
0330e3ec-ef26-4030-9e6c-428764fcb696,Darryl Beaton,"Beaton, Darryl",,Person,,,,,
0341e982-8db8-4daa-a974-c7b6f27b2e66,수영,Sooyoung,,Person,South Korea,Gwangju,1990-02-10,,Female
035610f3-b143-4caf-85ca-8eb7efdae170,"Paul Jackson, Jr.","Jackson, Paul, Jr.",,Person,United States,Los Angeles,1959-12-30,,Male
035bc391-d7dd-4a68-8321-fa1e02697fc8,Rick Nowels,"Nowels, Rick",,Person,United States,San Francisco,1960-03-16,,Male
035c71e9-b710-4db4-8307-890ad4cf0374,中本悠太,"Nakamoto, Yuta",,Person,South Korea,Kadoma,1995-10-26,,Male
03713bf2-f1b6-4885-9cb9-ede7b2c80db7,Nathan Cassells,"Cassells, Nathan",,Person,,,,,Male
037b679d-ab3c-4434-a38b-74700ee48890,AJ McLean,"McLean, AJ","US singer, songwriter, actor, dancer & model",Person,United States,West Palm Beach,1978-01-09,,Male
037d829c-f005-48a4-a8f0-c95d46cd2e0f,Nicole Kea,"Kea, Nicole",,Person,,,,,Female
0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Queen,Queen,UK rock group,Group,United Kingdom,London,1970-06-27,,
03905a8e-5c66-442c-9ada-60a0f5a76783,유정연,"Yoo, Jeong-yeon",TWICE,Person,South Korea,Suwon,1996-11-01,,Female
0391efc7-0105-4c87-a0ac-4665e1119ba8,장원영,"Jang, Won-young",,Person,South Korea,Yongsan District,2004-08-31,,Female
039f523f-689a-49be-83c4-bd6fdda61c1f,박진영,"Park, Jin Young","Korean singer-songwriter, record producer, record executive & reality TV judge",Person,South Korea,Seoul,1972-12-13,,Male
03a0c292-3569-46cf-9876-d3c79af048eb,Tink,Tink,,Person,United States,Calumet City,1995-03-18,,Female
03aba063-42f7-47c6-9974-6a6ab24a0b53,Farrokh Bulsara,"Bulsara, Farrokh",,Person,United Kingdom,Stone Town,1946-09-05,1991-11-24,Male
03d2da7f-7e33-4d6f-b950-ca68ef9dd855,Johnny Juliano,"Juliano, Johnny",US rapper & producer,Person,United States,,,,Male
03dabc2d-87fb-451a-923e-130571548c65,James Jarvis,"Jarvis, James",,Person,,,,,Male
03dd79b1-05e1-4e2f-95ba-16158a11a887,上遠野瑞穂,"Katōno, Mizuho",,Person,Japan,Tokyo,1991-10-30,,Female
03df9375-5518-4ebe-baab-fc6155b5ff32,中野郁海,"Nakano, Ikumi",,Person,Japan,Tottori,2000-08-20,,Female
03dffa24-55d7-4d87-b79d-a869e831ab6b,Scott Barnett,"Barnett, Scott",engineer,Person,,,,,Male
03e53482-a069-4e65-aa7a-117ede967ffe,CIX,CIX,,Group,South Korea,Seoul,2019-05,,
03f3c51a-ea2d-4b61-9b2f-0ca5424d7a71,Andrew Chavez,"Chavez, Andrew",engineer,Person,Los Angeles,,,,Male
0407a14a-8430-489d-8c26-e6a328bd93d4,Kara's Flowers,Kara's Flowers,precursor to Maroon 5,Group,United States,Los Angeles,1994,2001,
040bf5e1-1ae1-4752-8c99-e5929e06b115,Jim Sitterly,"Sitterly, Jim",violinist,Person,,,,,
0420db0b-a9bf-4455-b926-a93731452e84,Kyle Scherrer,"Scherrer, Kyle",,Person,,,,,
0438dfba-84aa-4cae-832b-f449ced42985,Michael Leonhart,"Leonhart, Michael",,Person,United States,New York,1974-04-21,,Male
043e6ca3-b049-4e6a-bebc-dc74f6c5cdf8,bülow,bülow,Megan Bülow,Person,Canada,Berlin,1999-12-25,,Female
04456b86-d064-4643-a57f-df9ef42a46d9,David Foster,"Foster, David","Canadian music producer, arranger and composer",Person,Canada,Victoria,1949-11-01,,Male
044fd265-79dd-43eb-afc4-8b20becf7e17,Thundercat,Thundercat,American musician,Person,United States,Los Angeles,1984-10-19,,Male
04617771-a7e2-4a8d-a873-72e8365a21c0,배진솔,"Bae, Jin-sol",,Person,South Korea,South Korea,2004-12-28,,Female
046cc7d1-78f9-4cdd-ac88-553d418c2517,황민희,"Hwang, Min-hee",,Person,South Korea,,,,
0492126a-57f8-4938-813e-d7189b2fd49f,Edgar Lustgarten,"Lustgarten, Edgar",,Person,,,,,Male
