recording_mbid,artist_mbid,credit_type,credit_details
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,2f548675-008d-4332-876c-108b0c7ab9c5,lyricist,
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,2f548675-008d-4332-876c-108b0c7ab9c5,songwriter,
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,2f548675-008d-4332-876c-108b0c7ab9c5,vocal,guest;lead vocals
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,302bd7b9-d012-4360-897a-93b00c855680,producer,
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,302bd7b9-d012-4360-897a-93b00c855680,songwriter,
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,3230878f-3290-429d-9aa9-08b9322eaa2d,songwriter,
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,a3ee920f-4e7f-4993-8aca-4b8538cfaa4a,producer,
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,df5274d8-1060-4097-a916-a5f888e400a9,producer,
0069c0f7-9274-4b4b-a10e-110b90a4bcc0,df5274d8-1060-4097-a916-a5f888e400a9,songwriter,
00839a86-3386-4039-890e-500949856edc,0306016b-331c-4519-b51e-f11dfc217455,producer,
00839a86-3386-4039-890e-500949856edc,060be8ed-bd5a-46d6-8660-6b61b19c2a62,instrument,bass
00839a86-3386-4039-890e-500949856edc,060be8ed-bd5a-46d6-8660-6b61b19c2a62,producer,
00839a86-3386-4039-890e-500949856edc,0eee89dc-7d86-4a15-97be-011652c49288,songwriter,
00839a86-3386-4039-890e-500949856edc,3bc9d6c1-4aaf-4369-86c1-765329643683,producer,
00839a86-3386-4039-890e-500949856edc,46be3d66-7fe6-4f5e-9911-f0425007b76f,producer,
00839a86-3386-4039-890e-500949856edc,5bb26424-63ce-432e-aaf5-2bd80fe7a732,instrument,percussion
00839a86-3386-4039-890e-500949856edc,5bb26424-63ce-432e-aaf5-2bd80fe7a732,songwriter,
00839a86-3386-4039-890e-500949856edc,96855c21-b832-4366-ba12-0d2330c36a86,producer,
00839a86-3386-4039-890e-500949856edc,96855c21-b832-4366-ba12-0d2330c36a86,songwriter,
00839a86-3386-4039-890e-500949856edc,96855c21-b832-4366-ba12-0d2330c36a86,vocal,lead vocals
00839a86-3386-4039-890e-500949856edc,c359f7ee-cbcb-4cff-97e0-c1d944b97080,instrument,strings
00839a86-3386-4039-890e-500949856edc,ca0d305c-f3bc-4684-a117-085e4722aef1,instrument,drum machine
00839a86-3386-4039-890e-500949856edc,ca0d305c-f3bc-4684-a117-085e4722aef1,producer,
00fe6bcc-33c9-481c-beb3-95bc5203772a,6cd75047-3090-46d8-910b-6149238da324,producer,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,072fa314-f544-4943-8dd5-afa37b55e696,lyricist,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,1a904421-1095-495d-8a9e-50c132f910f1,producer,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,302bd7b9-d012-4360-897a-93b00c855680,songwriter,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,30aeb57f-bb16-47fa-86ca-79fc57b4d12c,vocal,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,48646387-1664-4c9a-9139-9bfd091b823c,performer,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,52735bac-3018-45ad-9cee-7f62042ba08f,songwriter,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,6cd75047-3090-46d8-910b-6149238da324,arranger,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,6cd75047-3090-46d8-910b-6149238da324,producer,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,6cd75047-3090-46d8-910b-6149238da324,songwriter,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,779351de-0da5-4943-928b-495a3c40e8c0,lyricist,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,779351de-0da5-4943-928b-495a3c40e8c0,songwriter,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,779351de-0da5-4943-928b-495a3c40e8c0,vocal,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,7b14eedd-89d1-4df5-b38d-5260b759c5df,songwriter,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,7f233cda-eacb-4235-b681-5f7be343a1a2,vocal,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,ab637852-92f3-4411-ac4f-94ef81540f51,arranger,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,ab637852-92f3-4411-ac4f-94ef81540f51,producer,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,ab637852-92f3-4411-ac4f-94ef81540f51,songwriter,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,ac7d16e5-04de-4a58-8505-6a25e08652e6,lyricist,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,f906154a-7011-49c3-8f6a-44ca83311b08,lyricist,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,f906154a-7011-49c3-8f6a-44ca83311b08,vocal,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,fd65c60b-2aaa-4537-85c8-18b07c9a12e7,lyricist,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,fd65c60b-2aaa-4537-85c8-18b07c9a12e7,producer,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,fd65c60b-2aaa-4537-85c8-18b07c9a12e7,songwriter,
01bb5b05-4424-42b5-ab34-eec81d3e63b2,4861e415-2a6e-4682-98c0-ae212683faf4,songwriter,
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,05517043-ff78-4988-9c22-88c68588ebb9,instrument,electric bass guitar
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,05517043-ff78-4988-9c22-88c68588ebb9,lyricist,
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,05517043-ff78-4988-9c22-88c68588ebb9,producer,
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,05517043-ff78-4988-9c22-88c68588ebb9,songwriter,
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,05517043-ff78-4988-9c22-88c68588ebb9,vocal,
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,14dd1b30-a359-468e-a002-afaabf25efa3,arranger,horn
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,14dd1b30-a359-468e-a002-afaabf25efa3,instrument,synthesizer
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,2103a430-9bb8-4dd1-8c6a-40a6b1b17a3f,instrument,trumpet
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,29641117-f908-4fa4-9240-92b959bb3eed,arranger,additional
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,29641117-f908-4fa4-9240-92b959bb3eed,instrument,guitar
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,3003fda4-fd03-4560-b443-20c4b675fbdb,instrument,trumpet
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,4244b5b1-9528-4f20-94cf-f2134e09b068,instrument,trumpet
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,4d5b473f-8e4b-4443-9936-586627ac3753,instrument,trombone
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,572b74b9-663d-4638-8ff3-89311a6e6a28,producer,
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,73c3f499-60e2-44e1-81dd-7fe2191461fa,instrument,guitar synthesizer
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,812236db-9f00-4db1-b78a-48dc50c192e5,instrument,solo;tin whistle
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,acc5407d-d413-4c11-a232-7b93c6aae4f9,instrument,trombone
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,b66ee2e7-ec31-4a55-bf75-3b9edb357ff0,instrument,trumpet
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,b6be6ceb-f776-460f-a145-212fa306baa1,instrument,percussion
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,b999b126-d2a0-4f42-b820-e3c115787d4b,instrument,baritone saxophone;bass saxophone
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,be22c792-dc74-4678-a1a2-a808fe34f1a1,instrument,bass guitar
01e1696b-b3c7-4ffe-a42b-ec2c952f7429,e9071d5f-0e63-4dd5-98fe-0d2e1dda86c9,instrument,drums (drum set)
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,1890e726-4817-42f4-92e7-ca78bef6692a,instrument,piano
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,1890e726-4817-42f4-92e7-ca78bef6692a,producer,
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,1890e726-4817-42f4-92e7-ca78bef6692a,songwriter,
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,20244d07-534f-4eff-b4d4-930878889970,producer,
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,20244d07-534f-4eff-b4d4-930878889970,songwriter,
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,20244d07-534f-4eff-b4d4-930878889970,vocal,lead vocals
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,8cbe7c9c-c829-46fc-97ef-08f01b8ea53a,producer,task
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,b538135a-4aee-432f-b9bd-7bae1357a796,producer,
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,c6af3133-3710-4ed9-8fbf-b8f4551bd4b3,producer,
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,d1f01df7-fcac-4c64-a530-0f49aacf98bb,producer,
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,ebd9c94c-8014-4aea-ae0f-abbe0c8d8dd3,instrument,synthesizer
01e1cfa1-ee04-4e35-bca7-03c017ad86e3,ebd9c94c-8014-4aea-ae0f-abbe0c8d8dd3,producer,synthesizer
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,0a7ef947-cb11-4bf0-89e3-23b9a950f04d,vocal,lead vocals
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,2981e3a6-f00a-44a6-a681-261d5c2af833,vocal,lead vocals
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,29a46935-dae2-4168-9218-328b06544142,lyricist,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,394c4a65-21e4-4f5c-963f-9b91dc113af9,lyricist,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,5ed45b2e-3645-4c66-a73f-a69d3a2ff4b4,arranger,strings
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,5ed45b2e-3645-4c66-a73f-a69d3a2ff4b4,instrument,bass
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,5ed45b2e-3645-4c66-a73f-a69d3a2ff4b4,producer,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,5ed45b2e-3645-4c66-a73f-a69d3a2ff4b4,songwriter,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,6129541c-c466-4c38-b010-9563e10ca59b,producer,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,bc476266-1fba-44de-88b6-cc8ec4a0dd17,songwriter,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,c5fd0ee3-b3be-4258-a2ae-de20ebdf6a46,arranger,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,cfb381d6-df26-4c66-bd5d-bcc1af01ac9f,producer,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,f244e9a4-91d9-47b4-ba19-21bed58df813,lyricist,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,f244e9a4-91d9-47b4-ba19-21bed58df813,vocal,lead vocals
02251981-33fa-4249-9724-2a87293586c4,141ec521-1e17-4807-9eec-a6f3c9f6f5bd,producer,
02251981-33fa-4249-9724-2a87293586c4,5334edc0-5faf-4ca5-b1df-000de3e1f752,instrument,guitar
02251981-33fa-4249-9724-2a87293586c4,5334edc0-5faf-4ca5-b1df-000de3e1f752,publishing,
02251981-33fa-4249-9724-2a87293586c4,5334edc0-5faf-4ca5-b1df-000de3e1f752,songwriter,
02251981-33fa-4249-9724-2a87293586c4,5334edc0-5faf-4ca5-b1df-000de3e1f752,vocal,background vocals
02251981-33fa-4249-9724-2a87293586c4,56a55378-f155-48de-80a5-d80104221267,vocal,background vocals
02251981-33fa-4249-9724-2a87293586c4,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,songwriter,
02251981-33fa-4249-9724-2a87293586c4,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,vocal,lead vocals
02251981-33fa-4249-9724-2a87293586c4,793c0a4e-7dd9-42f3-bdbc-374892d7f1a4,producer,
02251981-33fa-4249-9724-2a87293586c4,bfe021d2-e761-44ad-8c77-33708ee681d9,instrument,bass guitar
02251981-33fa-4249-9724-2a87293586c4,bfe021d2-e761-44ad-8c77-33708ee681d9,producer,drum machine
02251981-33fa-4249-9724-2a87293586c4,bfe021d2-e761-44ad-8c77-33708ee681d9,songwriter,
02251981-33fa-4249-9724-2a87293586c4,bfe021d2-e761-44ad-8c77-33708ee681d9,vocal,background vocals
02251981-33fa-4249-9724-2a87293586c4,d5ef8cc4-9e84-4577-9fb4-961d0f324868,instrument,drum machine
02251981-33fa-4249-9724-2a87293586c4,e2ceb7e6-ed46-4ff6-9062-391f8cee1ecc,producer,
025262a0-6b15-4192-aaf8-bfc40622b053,01bacd54-d063-42b4-b50a-5e992185a43a,songwriter,
025262a0-6b15-4192-aaf8-bfc40622b053,185f04d9-44c9-471f-a55f-d54aac4d9fad,songwriter,
025262a0-6b15-4192-aaf8-bfc40622b053,4e972744-adf1-4ad3-bc7e-3905a6e6d838,songwriter,
025262a0-6b15-4192-aaf8-bfc40622b053,7988f833-fb69-4be8-9041-eb4fa4b7ad0b,songwriter,
025262a0-6b15-4192-aaf8-bfc40622b053,a16d1433-ba89-4f72-a47b-a370add0bb55,lyricist,
025262a0-6b15-4192-aaf8-bfc40622b053,a16d1433-ba89-4f72-a47b-a370add0bb55,songwriter,
025262a0-6b15-4192-aaf8-bfc40622b053,d49e4c39-9f7a-45f7-b307-5ce3515195b9,songwriter,
02843507-73bb-449f-87fa-9bdcf42968bf,673f2360-45c1-43d3-b0d2-cf6d798b2fdd,instrument,bass
02843507-73bb-449f-87fa-9bdcf42968bf,8175ee23-6166-4b9d-b46e-6d868530fb16,instrument,guitar
02843507-73bb-449f-87fa-9bdcf42968bf,c0cf8e46-34a7-4a52-8ef6-0d800cb53f1b,instrument,drums (drum set);percussion
