recording_mbid,recording_title,recording_language
00839a86-3386-4039-890e-500949856edc,Punisher,
00b6d5c6-55e2-4a85-a641-98511d8393fe,Anymore,
00fe6bcc-33c9-481c-beb3-95bc5203772a,빙글빙글,
012ac1e2-1f7b-4d22-9cba-ec410bc2ce5c,Lovesick Girls,mul
01bb5b05-4424-42b5-ab34-eec81d3e63b2,Feels So Good,
01c2a40e-cafb-4a92-a83b-551fbc64e666,Don’t Speak,
0210f62e-05cd-46e8-8a18-fe8ddb1aecdc,Sweet Juice,mul
025262a0-6b15-4192-aaf8-bfc40622b053,Forgive Me,kor
027c2ea6-159e-4f3a-9558-2ceb6696a1a5,Blow Away,
02843507-73bb-449f-87fa-9bdcf42968bf,Breathe Again,
028eb5ad-3eba-4e8f-ac50-4cbc21c0c11e,Therefore I Am,eng
02b52554-91db-44b8-aab9-0ff6400bb601,Lion Heart,kor
02c5b6de-4713-4023-a0d2-f50aa4670f8e,Malibu Nights,
02fb10ba-4ab0-4443-95f2-5401f590a7af,Physical,eng
037db458-7154-43bf-8f01-8b4623a325c1,BAAM,
03b54c8c-f028-49e5-8de8-92e7ac15af04,Time Slip,kor
04207ca7-01c6-426a-9783-3c965a8c6760,There There. (The Boney King of Nowhere.),eng
048de85d-5d29-45d8-a655-f4a4a48d39d5,The Feels,eng
04a245c3-6aaf-4807-9455-e86d88055567,Cowboy Casanova,eng
04cccd2b-bbac-4309-a367-94325fd0ef93,Royals,eng
0528232f-072c-40da-908a-4261b3ede337,Somebody Else,
05436d43-273b-42e2-bcc5-b25786a8bdc7,Cruel,
05565bec-7a75-4e52-9e82-fbbed27ce903,invisible string,eng
0562a709-e6f0-4014-b269-e3130f2281e2,Lost Kitten,eng
057fb67c-9aa9-405d-9bc0-0d14cf9ca3e0,IDOL,
05833d73-e1e0-4d69-a00b-a586f8ffb3b6,Dear Prudence,eng
05aafb1e-9b7d-46cf-9b5f-82b558b0471c,Time Alone With You,eng
05ad2056-97f6-4aa4-bfb3-f12c6ecf2c7f,Psycho,mul
05c3b3db-f96a-41d2-9b69-9b8b1de3ceb2,딩가딩가 (Dingga),
063a4265-d2ff-42e3-93c2-49f15e5bd5b1,LOCO,
0687c80c-ff57-4bfc-99b4-858f2bb1e37f,Smoke,eng
06c236da-dd61-4829-903d-ee5e7f90ee2d,Uncharted,eng
06c92450-0b24-4431-a4e0-15bb559e7c45,RING ma Bell (what a wonderful world),mul
06f74a8a-a6ad-46f9-b6b7-8752943fc5df,Tell Me,
071162ec-2160-4c44-bbaf-4aa00a437824,EASY,
