spotify_track_uri,recording_mbid
spotify:track:01SfTM5nfCou5gQL70r6gs,3d7f2000-123d-4cac-862b-e04ead24c5f2
spotify:track:021L6LlBBtr34BmFRHd9Ic,03c5f553-b84f-429e-9aab-6804aac4f6a2
spotify:track:02VBYrHfVwfEWXk5DXyf0T,baded4c1-1bda-4891-bee8-2074383b6c2e
spotify:track:02ppMPbg1OtEdHgoPqoqju,d9b46ecb-5472-4dcd-8fa4-dd6723189e27
spotify:track:02wk5BttM0QL38ERjLPQJB,905fe05b-d592-4ddc-96e7-be76522ab0fb
spotify:track:03HYOtfzbzx0HPHMcfLFOe,35376510-ffa7-4939-bfc0-dfcbd6c340a6
spotify:track:03MTY1omA35sy8rWJEtGcq,9e5e5ca1-46c4-4786-a74f-c18a25cf13f2
spotify:track:03UrZgTINDqvnUMbbIMhql,882ce25d-51b9-4fe5-bbdf-16e661df0822
spotify:track:03kCR9HZpX5muU7D8xYPOL,717871d9-ff9c-46c8-93cb-3a708f76431c
spotify:track:03qu1u4hDyepQQi2lNxCka,e0f533ec-9c5e-427c-b133-5d99a0805828
spotify:track:03tqyYWC9Um2ZqU0ZN849H,7d2abe26-7733-4bb7-bc34-32895f1eb8d7
spotify:track:04qiPs2ScJrI7hgQ8mz4im,fe11b561-d515-4c41-baec-6ea8595941fa
spotify:track:05HjafWVI238CLw5RDNkas,c3b3a962-70c8-4d55-a33b-78a24b29b370
spotify:track:05NYcsjJwOYq4jIiKPVj9p,38d33ba5-d91a-497e-ad53-29a33efc6aa7
spotify:track:05RlBHEZg1RmL9DnPgv9Qq,968b993b-8d42-4966-a841-5896f92c7810
spotify:track:05bEOekC31J9F7tH8jEuJw,25a1ab87-d9f6-461d-a709-166c23f4a1cc
spotify:track:05oETzWbd4SI33qK2gbJfR,8d99aab3-a64c-4bfa-9bdf-1dc72a9e9fb1
spotify:track:06I6iDFVtZDGcRu9BgHraA,d2ea8548-1ebf-41e7-87f4-64828fd54ceb
spotify:track:06O3hxudc6V0BOuoCFSy71,19d9ee7a-162f-4d33-87c1-f0041168a835
spotify:track:06PNiDGtPIMOq9VU2ftVCk,f1a71650-bd53-40df-8f69-9778a336ef38
spotify:track:06RdYCp0UxsBtWsonHfSZz,489e88ff-323a-449f-8dd2-f7521691880a
spotify:track:06WgOCf0LV2h4keYXDRnuh,ca9c624b-2272-49d4-a25b-2235659de660
