artist_uri,genre
spotify:artist:003f4bk13c6Q3gAUXv7dGJ,austrian orchestra
spotify:artist:003f4bk13c6Q3gAUXv7dGJ,classical
spotify:artist:003f4bk13c6Q3gAUXv7dGJ,classical performance
spotify:artist:003f4bk13c6Q3gAUXv7dGJ,orchestra
spotify:artist:00DuPiLri3mNomvvM3nZvU,j-rock
spotify:artist:00DuPiLri3mNomvvM3nZvU,japanese emo
spotify:artist:00DuPiLri3mNomvvM3nZvU,japanese math rock
spotify:artist:00DuPiLri3mNomvvM3nZvU,japanese post-hardcore
spotify:artist:00FQb4jTyendYWaN8pK0wa,art pop
spotify:artist:00FQb4jTyendYWaN8pK0wa,pop
spotify:artist:00IjdWQ46sSBP4gZYObAMx,a cappella
spotify:artist:00erTY7OuCOdNTN36srPNN,movie tunes
spotify:artist:00ud2vhOOcbrUyGGYPSTYh,movie tunes
spotify:artist:01XYiBYaoMJcNhPokrg0l0,k-pop
spotify:artist:01XYiBYaoMJcNhPokrg0l0,k-pop girl group
spotify:artist:01wau5CL3Z1vfJJWkzBkqg,48g
spotify:artist:01wau5CL3Z1vfJJWkzBkqg,j-idol
spotify:artist:01wau5CL3Z1vfJJWkzBkqg,j-pop
spotify:artist:01wau5CL3Z1vfJJWkzBkqg,j-pop girl group
spotify:artist:0238bOScDVbMG0RBP2NguG,canadian singer-songwriter
spotify:artist:02kJSzxNuaWGqwubyUba0Z,indie pop rap
spotify:artist:02kJSzxNuaWGqwubyUba0Z,oakland hip hop
spotify:artist:02kJSzxNuaWGqwubyUba0Z,pop rap
spotify:artist:02kJSzxNuaWGqwubyUba0Z,rap
spotify:artist:03EYBMnqSchCMp5D9qmFXi,contemporary vocal jazz
spotify:artist:03EYBMnqSchCMp5D9qmFXi,vocal jazz
spotify:artist:03YhcM6fxypfwckPCQV8pQ,hard bop
spotify:artist:03YhcM6fxypfwckPCQV8pQ,jazz
spotify:artist:03YhcM6fxypfwckPCQV8pQ,jazz guitar
spotify:artist:04L3elxyr0XFua2Ek3domW,k-indie
spotify:artist:04L3elxyr0XFua2Ek3domW,korean pop
spotify:artist:04gDigrS5kc9YWfZHwBETP,pop
spotify:artist:04u3fc37nHFKN7GJTSIwI8,indonesian indie
spotify:artist:04u3fc37nHFKN7GJTSIwI8,indonesian pop
spotify:artist:04u3fc37nHFKN7GJTSIwI8,indonesian singer-songwriter
spotify:artist:053q0ukIDRgzwTr4vNSwab,art pop
spotify:artist:053q0ukIDRgzwTr4vNSwab,canadian electropop
spotify:artist:053q0ukIDRgzwTr4vNSwab,grave wave
spotify:artist:053q0ukIDRgzwTr4vNSwab,indietronica
spotify:artist:053q0ukIDRgzwTr4vNSwab,metropopolis
spotify:artist:053q0ukIDRgzwTr4vNSwab,neo-synthpop
spotify:artist:05CRzFTp7TouOXPuH6Tapu,indonesian pop
spotify:artist:05CRzFTp7TouOXPuH6Tapu,indonesian r&b
spotify:artist:05MlomiA9La0OiNIAGqECk,brighton indie
spotify:artist:05MlomiA9La0OiNIAGqECk,british math rock
spotify:artist:05MlomiA9La0OiNIAGqECk,math pop
spotify:artist:05MlomiA9La0OiNIAGqECk,math rock
spotify:artist:05ukT24TP30K50Blikom8z,background piano
spotify:artist:06HL4z0CvFAxyc27GXpf02,pop
spotify:artist:06bDwgCHeMAwhgI8il4Y5k,electropowerpop
spotify:artist:06bDwgCHeMAwhgI8il4Y5k,otacore
spotify:artist:06bDwgCHeMAwhgI8il4Y5k,pixie
spotify:artist:06bDwgCHeMAwhgI8il4Y5k,pov: indie
