name,uri,popularity,followers,image_url
Wiener Philharmoniker,spotify:artist:003f4bk13c6Q3gAUXv7dGJ,67.0,125825.0,https://i.scdn.co/image/ab6761610000e5eb4bb5eb0860d831455fab32b6
Ling tosite sigure,spotify:artist:00DuPiLri3mNomvvM3nZvU,46.0,227401.0,https://i.scdn.co/image/ab6761610000e5eb0e64907de9ddcfed54079cf5
Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa,89.0,31229641.0,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
On The Rocks,spotify:artist:00IjdWQ46sSBP4gZYObAMx,24.0,10465.0,https://i.scdn.co/image/ab6761610000e5eb381a32f450b916405246fdf9
James Hong,spotify:artist:00erTY7OuCOdNTN36srPNN,42.0,1053.0,
Mary Moder,spotify:artist:00ud2vhOOcbrUyGGYPSTYh,27.0,144.0,
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,62.0,1677390.0,https://i.scdn.co/image/ab6761610000e5eb784d2270653c1d5d1cf43778
AKB48,spotify:artist:01wau5CL3Z1vfJJWkzBkqg,53.0,454139.0,https://i.scdn.co/image/ab6761610000e5eb0de22aea5aea7449b0423435
Northcote,spotify:artist:0238bOScDVbMG0RBP2NguG,30.0,10435.0,https://i.scdn.co/image/ab6761610000e5eb46b124542d8bde781a27586c
N'Harmonics,spotify:artist:02WQpZmto5LiTgoorLhpLK,4.0,981.0,https://i.scdn.co/image/ab6761610000e5ebb0f047d0539e01d8b6c71087
G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z,74.0,5198585.0,https://i.scdn.co/image/ab6761610000e5ebd9cfdc05548d1655bc265f85
Billy McCarthy,spotify:artist:02v2poO7JL5ixVE5GGfwkn,0.0,82.0,
Stacey Kent,spotify:artist:03EYBMnqSchCMp5D9qmFXi,57.0,273761.0,https://i.scdn.co/image/ab6761610000e5eb7773162cc90fc8dfb720fdfe
Sunwoojunga,spotify:artist:04L3elxyr0XFua2Ek3domW,46.0,110768.0,https://i.scdn.co/image/ab6761610000e5ebdc33cbb79510fa7890d724ed
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,84.0,41515646.0,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77
Rendy Pandugo,spotify:artist:04u3fc37nHFKN7GJTSIwI8,44.0,367961.0,https://i.scdn.co/image/ab6761610000e5eb408ba1a3545e10612f0093b1
Isyana Sarasvati,spotify:artist:05CRzFTp7TouOXPuH6Tapu,53.0,1628153.0,https://i.scdn.co/image/ab6761610000e5eb87dc30e540254e0976c4b478
TRAX,spotify:artist:05IXIcHMbO6RMnJ6uQPrmP,14.0,2543.0,https://i.scdn.co/image/ab67616d0000b2739837dbad2e01127f9869b506
Delta Sleep,spotify:artist:05MlomiA9La0OiNIAGqECk,42.0,83722.0,https://i.scdn.co/image/ab6761610000e5ebef86feb3e2b9c57897ddc453
Axel Gillison,spotify:artist:05ukT24TP30K50Blikom8z,40.0,1083.0,https://i.scdn.co/image/ab67616d0000b273e72e9d3ec09b350c5d0531a0
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,100.0,98130821.0,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4
Set It Off,spotify:artist:06bDwgCHeMAwhgI8il4Y5k,64.0,905563.0,https://i.scdn.co/image/ab6761610000e5ebce8928318b4b457503192c70
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,77.0,11930885.0,https://i.scdn.co/image/ab6761610000e5eb2ca27dcc7f92e9576126bb18
‘Into The Woods’ 2022 Broadway Cast,spotify:artist:080apEI56n6y4wL1epxCDo,27.0,840.0,https://i.scdn.co/image/ab67616d0000b273994da6851bfec7dfcb7fb3d3
Fleetwood Mac,spotify:artist:08GQAI4eElDnROBrJRGE0X,80.0,10874604.0,https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8
YUNSEOKCHEOL TRIO,spotify:artist:09fZOcPYim8MvvQieKkv5t,16.0,3141.0,https://i.scdn.co/image/ab6761610000e5eb32aa7584c305f934dbe0057f
Gael Garcia Bernal,spotify:artist:09oR0uKhqwScsKa2eUK97p,57.0,6974.0,https://i.scdn.co/image/ab67616d0000b27306c7cbbc587798a01ae1b1ae
Jacob Banks,spotify:artist:0AepkoQhYvkjEzzwIcGxdV,56.0,516509.0,https://i.scdn.co/image/ab6761610000e5ebedb1ff4a690386ca7bee7007
Lu-Ni,spotify:artist:0AythHu8oDXnRGp8qviBPj,29.0,6310.0,https://i.scdn.co/image/ab67616d0000b2735a36251d7041e99d024c523a
Tani Yuuki,spotify:artist:0B1ce3uNrzkdm76NXI4mhX,61.0,487825.0,https://i.scdn.co/image/ab6761610000e5eba8984a0d074882994a26943e
HYOYEON,spotify:artist:0B3I6YgdnfXehUCpsO6oB8,29.0,281323.0,https://i.scdn.co/image/ab6761610000e5ebb85caa5f0e213fbfc29b91db
Whee In,spotify:artist:0BqRGrwqndrtNkojXiqIzL,51.0,918336.0,https://i.scdn.co/image/ab6761610000e5ebb8997aa3a0038f3deafd5706
Guaynaa,spotify:artist:0BqURncJM5B1BBu7UM51eq,64.0,851554.0,https://i.scdn.co/image/ab6761610000e5eba16d9cf3cc90e28089cdf291
The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,76.0,7171072.0,https://i.scdn.co/image/ab6761610000e5eb207b21f3ed0ee96adce3166a
Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,82.0,47397795.0,https://i.scdn.co/image/ab6761610000e5eb0c8eb928813cd06614c0710d
PIXY,spotify:artist:0CJkEzffVZLgav03xXeC9s,39.0,177884.0,https://i.scdn.co/image/ab6761610000e5eb11b4e5da5aead482944bdef6
THE BOYZ,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx,60.0,2792819.0,https://i.scdn.co/image/ab6761610000e5eb771aebd54ce149b97c0bb971
Gints Berzins,spotify:artist:0CqCB3JQz4h9k3qk74ihWT,3.0,44.0,https://i.scdn.co/image/ab67616d0000b273732b6fb281de1f71f1f5f325
The Monteverdi Choir,spotify:artist:0Cqfz92flAzrp94pgN1jEW,51.0,12579.0,https://i.scdn.co/image/ab6761610000e5eb1572201eabc7158f8ab9ceff
THE NEW SIX,spotify:artist:0DRiXmEOc6dJ6Rug3xi4HZ,43.0,158994.0,https://i.scdn.co/image/ab6761610000e5ebb27819e3eca1ce5290364958
Ratko Delorko,spotify:artist:0E1sM06TDvSpGqNQBx8FV0,9.0,49.0,https://i.scdn.co/image/ab67616d0000b273ab2fdac9bebbf79f3397a31f
Eagles,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,76.0,10240352.0,https://i.scdn.co/image/ab6761610000e5eb0767e116a2307495e37cd7fb
Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,85.0,32231934.0,https://i.scdn.co/image/ab6761610000e5eb284894d68fe2f80cad555110
Christian Dillig,spotify:artist:0Ens2zPly8UFhQmyUUXlOH,5.0,2.0,https://i.scdn.co/image/ab67616d0000b2732ef4105bd054322c9e1dab7f
WENDY,spotify:artist:0FRUZvZNPzM3YJMABJxf2K,52.0,877497.0,https://i.scdn.co/image/ab6761610000e5eb2be3a5a3bfe963935ed4b2c2
HUR YOUNG JI,spotify:artist:0FUmt6iMoB9sJpxZuWkOI5,33.0,4254.0,https://i.scdn.co/image/ab6761610000e5ebb1b30eac112970257ddfefe4
Billy Eichner,spotify:artist:0FVsUxcFSlxwIM7Qs31s6J,45.0,4708.0,https://i.scdn.co/image/ab6761610000e5eb2660d94f968e40fb64887f7d
Melt,spotify:artist:0G7KI9I5BApiXc5Sqpyil9,35.0,33707.0,https://i.scdn.co/image/ab6761610000e5eb37f1f9561ca834f48e22d37a
Tainy,spotify:artist:0GM7qgcRCORpGnfcN2tCiB,78.0,1903674.0,https://i.scdn.co/image/ab6761610000e5ebb50d43598b9074f0d6146127
Soolking,spotify:artist:0GgY7hjMoGDsX8ZDe2mwds,72.0,5033583.0,https://i.scdn.co/image/ab6761610000e5eba0be3f7b3047d01434e03dae
Paige Price,spotify:artist:0GzTqQj6pGeI2iW6cA0uSR,21.0,53.0,
Stephanie Poetri,spotify:artist:0HS00NN7MAfF59aJnfcxSO,53.0,531187.0,https://i.scdn.co/image/ab6761610000e5eb0d53f158f4070d5a72190c4c
The Buffalo Chips,spotify:artist:0IAZ8PiZ0KqdMd191HDJ8t,3.0,316.0,https://i.scdn.co/image/ab6761610000e5eb075181955f5ee2a8606b9a95
Gabriella Flores,spotify:artist:0IFKI1ya1XM9LGVktNS2cS,48.0,357.0,
MISAMO,spotify:artist:0IwZVmMMGE7nNXS7vN9SIo,57.0,569554.0,https://i.scdn.co/image/ab6761610000e5ebdd834bb7e70b6c23c0d33909
Coogie,spotify:artist:0IznZPMUyaPGdqfP4oqBja,51.0,195507.0,https://i.scdn.co/image/ab6761610000e5eb5c8fe4d8c72bbd833ceaf202
John Oliver,spotify:artist:0J5AcRTl5C6aBnxCxZKpf3,41.0,5613.0,https://i.scdn.co/image/ab6761610000e5eb747ae6e10c5cffd0087b91bf
B. Swanson Quartet,spotify:artist:0JXiS2FrAg3wQYJHcmZdrc,71.0,781.0,
SUMIN,spotify:artist:0K4MGKGmjtdIE0W3GkGmyU,44.0,64070.0,https://i.scdn.co/image/ab6761610000e5eb4b924be9b846ac20bfecc676
Sergei Rachmaninoff,spotify:artist:0Kekt6CKSo0m5mivKcoH51,62.0,678738.0,https://i.scdn.co/image/463e3c5c3e814761532f554913cf2af456bcba59
Charles Dutoit,spotify:artist:0Ku5VBNL7cfGXRhp2BxXEQ,54.0,4286.0,https://i.scdn.co/image/005fcb121f6b97637c1fb438bcc616e5e4833091
Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,82.0,20354886.0,https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8
Jukebox The Ghost,spotify:artist:0L8jXe7QeS9oYUoXbANmX4,48.0,219758.0,https://i.scdn.co/image/ab6761610000e5ebb83671efd372de7007f612e2
The Virginia Sil'hooettes,spotify:artist:0LKgClZwZKGhM5BkCzjfMX,15.0,1483.0,https://i.scdn.co/image/ab67616d0000b273583e74176372c85d698af382
XG,spotify:artist:0LOK81e9H5lr61HlGGHqwA,67.0,1103336.0,https://i.scdn.co/image/ab6761610000e5eb91269cd424c78943a1fcbeb3
ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,79.0,11465257.0,https://i.scdn.co/image/ab6761610000e5eb124eba6bf3476404531bd7b2
Angela Lansbury,spotify:artist:0LtVJXnPR8msCJiE2DjHxy,51.0,30015.0,https://i.scdn.co/image/ab67616d0000b273a6d80e2ed079cf1183ade19a
Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,0.0,2353162.0,https://i.scdn.co/image/ab6761610000e5eb7462d94efa2db53abba8c003
WJSN THE BLACK,spotify:artist:0M3eRYg8ULjCtLFvhc5Orb,27.0,59993.0,https://i.scdn.co/image/ab6761610000e5ebb3b39b99f91ca659e213ab93
Sarah Kang,spotify:artist:0MBNzfGHTiPYag4DupDXUj,55.0,130444.0,https://i.scdn.co/image/ab6761610000e5ebfc127b34fde8611765a74301
