name,collaborative,public,uri,image_url,owner
Funk,False,True,spotify:playlist:0SL2KHDmNlkSmEgOBPeJCJ,https://mosaic.scdn.co/640/ab67616d00001e020f7e2aa2f1d7ea0fd2e206c0ab67616d00001e0216aaf05fe82237576a7d0e38ab67616d00001e0220112a0321d2efc7384db456ab67616d00001e02f93159d78849714fcf118bb3,jbrown1.618
K-Pop,False,True,spotify:playlist:0Xp2gQ9p4VMgt5HauIfIq7,https://mosaic.scdn.co/640/ab67616d00001e02505190077497c230422f2934ab67616d00001e027dd8f95320e8ef08aa121dfeab67616d00001e028164cd1a2e03b7ca2db9ff5eab67616d00001e02ff7c2dfd0ed9b2cf6bf9c818,jbrown1.618
Summer,False,True,spotify:playlist:0Xy9zMj8Yow1mGIrqd8nON,https://mosaic.scdn.co/640/ab67616d00001e0204878afb19613a94d37b29ceab67616d00001e021544041d0285585cc92c2709ab67616d00001e02570f746ccc2c75af070da1e0ab67616d00001e02d8cc2281fcd4519ca020926b,jbrown1.618
Retro Kpop,False,True,spotify:playlist:1MW4AAPq55U0XWvSeu1jU5,https://mosaic.scdn.co/640/ab67616d00001e024897a7925914a3a10ce68c31ab67616d00001e025babc6b49ac8a93fc5fc464aab67616d00001e0267f8236540d6f145e2f0baa1ab67616d00001e0271a70331062453ece06f8b79,jbrown1.618
K-Pop 101,False,True,spotify:playlist:1NlCn9vDmQDBF54JyVC2MC,https://mosaic.scdn.co/640/ab67616d00001e025c041fe9e3c9de436047d86bab67616d00001e02714e56679ab196354e2e443eab67616d00001e027a393b04e8ced571618223e8ab67616d00001e027dd8f95320e8ef08aa121dfe,jbrown1.618
Choral,False,True,spotify:playlist:1PCfeawsTHOhi6DGzagL7Y,https://mosaic.scdn.co/640/ab67616d00001e020baa26fb49c09c910a031d24ab67616d00001e020c8397c0c79c33e6f350ee52ab67616d00001e02397c1f0c407ebd9a318b25faab67616d00001e02609d14b25e86640a2a69c534,jbrown1.618
Modern Rock,False,True,spotify:playlist:1PjJceUCPGCW1uMWAs5dMe,https://mosaic.scdn.co/640/ab67616d00001e02028c3bb4b81ee71dd73d1596ab67616d00001e025675e83f707f1d7271e5cf8aab67616d00001e027948eec521c67e76cafe30a0ab67616d00001e02c985bcc18dd81da80839e5a9,jbrown1.618
Program Music,False,True,spotify:playlist:1PyrZgdZpE6UzIA3lANOlR,https://mosaic.scdn.co/640/ab67616d00001e024c43a2f36c0aec708ba024d5ab67616d00001e025d026bccbd8a50650e903130ab67616d00001e0276a42530f861aa187f3ac1c2ab67616d00001e02c385dbfabcec21279dcea0b5,jbrown1.618
R&B,False,True,spotify:playlist:1RsGeysyOdV3wZHqlto0Gb,https://mosaic.scdn.co/640/ab67616d00001e0245680a4a57c97894490a01c1ab67616d00001e0289992f4d7d4ab94937bf9e23ab67616d00001e02e13de7b8662b085b0885ffefab67616d00001e02ff5429125128b43572dbdccd,jbrown1.618
Pop,False,True,spotify:playlist:1WZ2RqQv2SPX5uzmjWhgSh,https://mosaic.scdn.co/640/ab67616d00001e0241aa6776dc15fbd71a2b4557ab67616d00001e029b9a3105ad4ffb91ad2e2798ab67616d00001e029dbb37516ff4b03244808e45ab67616d00001e02d6ec808748fa5b0c2d3a6618,jbrown1.618
