artist_uri,term,index,as_of_date
spotify:artist:1z4g3DjTBBZKhvAroFlhOM,long_term,1,2024-02-13
spotify:artist:2KC9Qb60EaY0kW4eH68vr3,long_term,2,2024-02-13
spotify:artist:3HqSLMAZ3g3d5poNaI7GOU,long_term,3,2024-02-13
spotify:artist:7n2Ycct7Beij7Dj7meI4X0,long_term,4,2024-02-13
spotify:artist:2AfmfGFbe0A0WsTYm0SDTx,long_term,5,2024-02-13
spotify:artist:6YVMFz59CuY7ngCxTxjpxE,long_term,6,2024-02-13
spotify:artist:2dIgFjalVxs4ThymZ67YCE,long_term,7,2024-02-13
spotify:artist:41MozSoPIsD1dJM0CLPjZF,long_term,8,2024-02-13
spotify:artist:3qNVuliS40BLgXGxhdBdqu,long_term,9,2024-02-13
spotify:artist:5t5FqBwTcgKTaWmfEbwQY9,long_term,10,2024-02-13
spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,long_term,11,2024-02-13
spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,long_term,12,2024-02-13
spotify:artist:7cVZApDoQZpS447nHTsNqu,long_term,13,2024-02-13
spotify:artist:0XATRDCYuuGhk0oE7C0o5G,long_term,14,2024-02-13
spotify:artist:0Sadg1vgvaPqGTOjxu0N6c,long_term,15,2024-02-13
spotify:artist:2PSJ6YriU7JsFucxACpU7Y,long_term,16,2024-02-13
spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,long_term,17,2024-02-13
spotify:artist:6RHTUrRF63xao58xh9FXYJ,long_term,18,2024-02-13
spotify:artist:01XYiBYaoMJcNhPokrg0l0,long_term,19,2024-02-13
spotify:artist:2GQxKDojobwBjZMPf7aoh0,long_term,20,2024-02-13
spotify:artist:4SpbR6yFEvexJuaBpgAU5p,long_term,21,2024-02-13
spotify:artist:7f4ignuCJhLXfZ9giKT7rH,long_term,22,2024-02-13
spotify:artist:06HL4z0CvFAxyc27GXpf02,long_term,23,2024-02-13
spotify:artist:2Sqr0DXoaYABbjBo9HaMkM,long_term,24,2024-02-13
spotify:artist:6HvZYsbFfjnjFrWF950C9d,long_term,25,2024-02-13
spotify:artist:1gBUSTR3TyDdTVFIaQnc02,long_term,26,2024-02-13
spotify:artist:5V1qsQHdXNm4ZEZHWvFnqQ,long_term,27,2024-02-13
spotify:artist:3ZZzT0naD25RhY2uZvIKkJ,long_term,28,2024-02-13
spotify:artist:6MoXcK2GyGg7FIyxPU5yW6,long_term,29,2024-02-13
spotify:artist:28ot3wh4oNmoFOdVajibBl,long_term,30,2024-02-13
spotify:artist:6Xg22wJOAcnvPUfk5WvODH,long_term,31,2024-02-13
spotify:artist:4muJrGMndyYWqZtfk8OWy4,long_term,32,2024-02-13
spotify:artist:26AHtbjWKiwYzsoGoUZq53,long_term,33,2024-02-13
spotify:artist:2QM5S4yO6xHgnNvF0nbZZq,long_term,34,2024-02-13
spotify:artist:68KmkJeZGfwe1OUaivBa2L,long_term,35,2024-02-13
