track_uri,term,index,as_of_date
spotify:track:24nK8tW7Pt3Inh2utttuoG,long_term,1,2024-02-13
spotify:track:3dbLT62Cvs46Ju7a8gpr36,long_term,2,2024-02-13
spotify:track:5GKwq4sO5ZHKuWaDmdwMQc,long_term,3,2024-02-13
spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK,long_term,4,2024-02-13
spotify:track:2zrhoHlFKxFTRF5aMyxMoQ,long_term,5,2024-02-13
spotify:track:6hvczQ05jc1yGlp9zhb95V,long_term,6,2024-02-13
spotify:track:1exnDFdC34GyBcaLt9ZJfX,long_term,7,2024-02-13
spotify:track:7qq0EOPW4RRlqdvMBmdd73,long_term,8,2024-02-13
spotify:track:4SFknyjLcyTLJFPKD2m96o,long_term,9,2024-02-13
spotify:track:5QGooKayQPVZMUDc8Qt3Dm,long_term,10,2024-02-13
spotify:track:1VjIS4qoyD6JS2rNZQgE00,long_term,11,2024-02-13
spotify:track:4as4XEOR03oGm1STUKl6pa,long_term,12,2024-02-13
spotify:track:1XnpzbOGptRwfJhZgLbmSr,long_term,13,2024-02-13
spotify:track:5HiSc2ZCGn8L3cH3qSwzBT,long_term,14,2024-02-13
spotify:track:4BSluGpjdLQihMmKgHXMxp,long_term,15,2024-02-13
spotify:track:56Yxkm62GtEpnPyG7TvwLY,long_term,16,2024-02-13
spotify:track:5xrtzzzikpG3BLbo4q1Yul,long_term,17,2024-02-13
spotify:track:2ezKXygNO30pXyDQXkm6oD,long_term,18,2024-02-13
spotify:track:6mavVLsxaa4YcPje9qZKcf,long_term,19,2024-02-13
spotify:track:37ZtpRBkHcaq6hHy0X98zn,long_term,20,2024-02-13
spotify:track:2DmRXiyn03tOqKgEJXlaiJ,long_term,21,2024-02-13
spotify:track:6rcn967QN5JtkPOBDwYIuT,long_term,22,2024-02-13
spotify:track:7CZRguMolNqIobnXxpV735,long_term,23,2024-02-13
spotify:track:16BS342F89MDqouSxgLaUK,long_term,24,2024-02-13
spotify:track:396FqjKmViUZ92Wmm4rx3i,long_term,25,2024-02-13
spotify:track:64iDjAuWDogVhuoWhKklF9,long_term,26,2024-02-13
spotify:track:0nwTMzpatarzvLvtwwzdCt,long_term,27,2024-02-13
spotify:track:1t2qYCAjUAoGfeFeoBlK51,long_term,28,2024-02-13
spotify:track:46wDG6evLn2iPoQ0F8CUWk,long_term,29,2024-02-13
spotify:track:5vCuawHQ8Poch1odz9JDpB,long_term,30,2024-02-13
spotify:track:1TUkEXQrskATO9SoB4QMUN,long_term,31,2024-02-13
spotify:track:3OC2C8IpFhbUJTeMe55QYn,long_term,32,2024-02-13
spotify:track:6ZQmJVUuXk1Q27d8vkmgm8,long_term,33,2024-02-13
spotify:track:1OBb2wZMXKNmtdyyejLIyL,long_term,34,2024-02-13
spotify:track:6u0pZe0Uv7GBR0iKptfWRf,long_term,35,2024-02-13
spotify:track:4lQsB3ERTWSNaAN1IkuNRl,long_term,36,2024-02-13
spotify:track:0yB4jrSwN0bFtFRDR5vyMj,long_term,37,2024-02-13
spotify:track:3cGp1jXxLReLKz7QgVbWZR,long_term,38,2024-02-13
spotify:track:26EM9sZnQkLLQxixGd88KE,long_term,39,2024-02-13
spotify:track:0U9jNoTJeTxXToakhsb7pV,long_term,40,2024-02-13
spotify:track:2iW0q5jJJT5HKlIs25AAgv,long_term,41,2024-02-13
spotify:track:3JBnDOUd18QKjDqSYuOfpm,long_term,42,2024-02-13
spotify:track:0lYtIvI7bO51PZSeK22Mbz,long_term,43,2024-02-13
spotify:track:4xjVP2Vogo0C72o6Nevq0W,long_term,44,2024-02-13
spotify:track:405SQUJdQut02dxtuQ0CZ3,long_term,45,2024-02-13
spotify:track:6NEoeBLQbOMw92qMeLfI40,long_term,46,2024-02-13
spotify:track:2hJS7BdEaH9Jo8MeJujsHT,long_term,47,2024-02-13
spotify:track:3QdjLOemIcMZovVOnvJP7P,long_term,48,2024-02-13
spotify:track:308Ir17KlNdlrbVLHWhlLe,long_term,49,2024-02-13
spotify:track:3IQ9FJ2cMVQtger5ZhgCaj,long_term,50,2024-02-13
spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew,medium_term,1,2024-02-13
spotify:track:6zZWoHlF2zNSLUNLvx4GUl,medium_term,2,2024-02-13
spotify:track:3EI3OLBeM89B0o0UsIGCOx,medium_term,3,2024-02-13
spotify:track:4zIPZxvYp32y6ifjm1E30O,medium_term,4,2024-02-13
spotify:track:4Cyf87ul1le0xTWRFBoYd7,medium_term,5,2024-02-13
spotify:track:1mdtLny0zugh89vokWGG80,medium_term,6,2024-02-13
spotify:track:2YmfV4lAjrAQvuggKCUX6m,medium_term,7,2024-02-13
spotify:track:4P5ozkI1bxiGxA5rZ27jlO,medium_term,8,2024-02-13
spotify:track:68gQG2HpRMxIRom4pCugMq,medium_term,9,2024-02-13
spotify:track:70t7Q6AYG6ZgTYmJWcnkUM,medium_term,10,2024-02-13
spotify:track:0ijCESscFXtRc0dtDgu1Uv,medium_term,11,2024-02-13
spotify:track:0jUDrSASok8h2xUIWe4KOG,medium_term,12,2024-02-13
spotify:track:396FqjKmViUZ92Wmm4rx3i,medium_term,13,2024-02-13
spotify:track:3uI6jqO0fFBoFryc8SJOXw,medium_term,14,2024-02-13
spotify:track:3F2BLyGt6zYLrHYpbdTw5L,medium_term,15,2024-02-13
spotify:track:6c1QaQHdDhtFMfUkhueuXK,medium_term,16,2024-02-13
spotify:track:3q5qpprtugUIEPExuI7tRD,medium_term,17,2024-02-13
spotify:track:3i7Z0CI7QIwnU4MVL0XJB9,medium_term,18,2024-02-13
spotify:track:4Pp6Ql9wV7A6VqHrmjMFv4,medium_term,19,2024-02-13
spotify:track:51vRumtqbkNW9wrKfESwfu,medium_term,20,2024-02-13
spotify:track:14nturKxV48wR3lbknehiu,medium_term,21,2024-02-13
spotify:track:1y8tPIOh9kR3eQE6TeBCwe,medium_term,22,2024-02-13
spotify:track:3syxwxJqX5jpgjNYmvzdW6,medium_term,23,2024-02-13
spotify:track:5Q1tv4GTxP3IJeGMOKdrFO,medium_term,24,2024-02-13
spotify:track:6A1dCPrUYhg56ukp4zlEUw,medium_term,25,2024-02-13
spotify:track:1IgRQvTqj7BKjNWRzjFEE0,medium_term,26,2024-02-13
spotify:track:2gyCwrOcC6JBoaJ8JGJ7T8,medium_term,27,2024-02-13
spotify:track:2uJEnyojuGg31VVlLTQFpp,medium_term,28,2024-02-13
spotify:track:4g6ZT8vgKNq4iyEbezr3yI,medium_term,29,2024-02-13
