name,popularity,explicit,duration_ms,uri,album_uri,isrc
Waltz No.10 Op.69-2 B Minor,1,False,208000,spotify:track:0004INO1s16Z8VSdewvTak,spotify:album:3USjXpMk5Pga22AZua7vNT,AUV401448055
Set Myself On Fire,52,False,157986,spotify:track:002wiS64p2qXaYYVAP7KOW,spotify:album:7i2YLTVQ0dyngRuUqtGmr9,KRA302200028
Mr. Brightside,88,False,222973,spotify:track:003vvx7Niy0yvhvHt4a68B,spotify:album:4piJq7R3gjUOxnYs6lDCTg,USIR20400274
"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",0,False,380665,spotify:track:004a5pvn9FmiF9jTujKiJp,spotify:album:3AYEvo7R1gY4O5xJuMwy3U,SEWDL6142989
abnormalize,53,False,216666,spotify:track:00nmZvZRyzQiYe2tAcDDUb,spotify:album:04ygc7Z2gcGtt7m8pnVUwf,JPN301201201
We Found Love,0,False,226650,spotify:track:00pw67OZKJyzydY9N2Orui,spotify:album:6Pqey2mc4EWSfYNH3bifbO,USE830921798
"Concerto for Violin and Strings in F Major, Op. 8, No. 3, RV 293 ""L'autunno"": II. Adagio molto (Ubriachi dormienti)",10,False,150000,spotify:track:00rr9bcpswlDp38RmgNWws,spotify:album:4Uc1Cus3I9LjkI2XwtQnfc,DEF058104812
Say You're Sorry,35,False,221160,spotify:track:011Dg8Hkelamb0hAuaijWd,spotify:album:627ukPRwYxyBREHxBq0vGJ,USSM11001696
MIC Drop (Steve Aoki Remix) - Full Length Edition,71,False,307675,spotify:track:01380RE6UfsPSdiUIwrCoH,spotify:album:43wFM1HquliY3iwKWzPN4y,QM6MZ1886154
Golden Slumbers - Remastered 2009,70,False,91760,spotify:track:01SfTM5nfCou5gQL70r6gs,spotify:album:0ETFjACtuP2ADo6LFhL6HN,GBAYE0601703
Jeu de cartes: II. Second Deal,0,False,556493,spotify:track:01sFYbEnNAR4ZBChyKR1XG,spotify:album:19fQbFNjlfXgBAFqftKzWA,RUA521609417
