level_0,artist_uri,term,index,as_of_date
81,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,long_term,1,2023-06-25
82,spotify:artist:41MozSoPIsD1dJM0CLPjZF,long_term,2,2023-06-25
83,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,long_term,3,2023-06-25
84,spotify:artist:2KC9Qb60EaY0kW4eH68vr3,long_term,4,2023-06-25
85,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU,long_term,5,2023-06-25
86,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,long_term,6,2023-06-25
87,spotify:artist:2dIgFjalVxs4ThymZ67YCE,long_term,7,2023-06-25
88,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx,long_term,8,2023-06-25
89,spotify:artist:3qNVuliS40BLgXGxhdBdqu,long_term,9,2023-06-25
90,spotify:artist:6YVMFz59CuY7ngCxTxjpxE,long_term,10,2023-06-25
91,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,long_term,11,2023-06-25
92,spotify:artist:5t5FqBwTcgKTaWmfEbwQY9,long_term,12,2023-06-25
93,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,long_term,13,2023-06-25
94,spotify:artist:06HL4z0CvFAxyc27GXpf02,long_term,14,2023-06-25
95,spotify:artist:7cVZApDoQZpS447nHTsNqu,long_term,15,2023-06-25
96,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c,long_term,16,2023-06-25
97,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,long_term,17,2023-06-25
98,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,long_term,18,2023-06-25
99,spotify:artist:6RHTUrRF63xao58xh9FXYJ,long_term,19,2023-06-25
100,spotify:artist:01XYiBYaoMJcNhPokrg0l0,long_term,20,2023-06-25
101,spotify:artist:4SpbR6yFEvexJuaBpgAU5p,long_term,21,2023-06-25
102,spotify:artist:2Sqr0DXoaYABbjBo9HaMkM,long_term,22,2023-06-25
103,spotify:artist:7f4ignuCJhLXfZ9giKT7rH,long_term,23,2023-06-25
104,spotify:artist:3ZZzT0naD25RhY2uZvIKkJ,long_term,24,2023-06-25
105,spotify:artist:1gBUSTR3TyDdTVFIaQnc02,long_term,25,2023-06-25
106,spotify:artist:26AHtbjWKiwYzsoGoUZq53,long_term,26,2023-06-25
107,spotify:artist:2GQxKDojobwBjZMPf7aoh0,long_term,27,2023-06-25
108,spotify:artist:5V1qsQHdXNm4ZEZHWvFnqQ,long_term,28,2023-06-25
109,spotify:artist:630wzNP2OL7fl4Xl0GnMWq,long_term,29,2023-06-25
110,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,long_term,30,2023-06-25
111,spotify:artist:0FRUZvZNPzM3YJMABJxf2K,long_term,31,2023-06-25
