name,popularity,explicit,duration_ms,uri,album_uri
Waltz No.10 Op.69-2 B Minor,0,False,208000,spotify:track:0004INO1s16Z8VSdewvTak,spotify:album:3USjXpMk5Pga22AZua7vNT
"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",0,False,380665,spotify:track:004a5pvn9FmiF9jTujKiJp,spotify:album:3AYEvo7R1gY4O5xJuMwy3U
Sk8er Boi,73,False,204000,spotify:track:00Mb3DuaIH1kjrwOku9CGU,spotify:album:3zXjR3y2dUWklKmmp6lEhy
abnormalize,47,False,216666,spotify:track:00nmZvZRyzQiYe2tAcDDUb,spotify:album:04ygc7Z2gcGtt7m8pnVUwf
We Found Love,0,False,226650,spotify:track:00pw67OZKJyzydY9N2Orui,spotify:album:6Pqey2mc4EWSfYNH3bifbO
"Concerto for Violin and Strings in F Major, Op. 8, No. 3, RV 293 ""L'autunno"": II. Adagio molto (Ubriachi dormienti)",7,False,150000,spotify:track:00rr9bcpswlDp38RmgNWws,spotify:album:4Uc1Cus3I9LjkI2XwtQnfc
Say You're Sorry,30,False,221160,spotify:track:011Dg8Hkelamb0hAuaijWd,spotify:album:627ukPRwYxyBREHxBq0vGJ
MIC Drop (Steve Aoki Remix) - Full Length Edition,69,False,307675,spotify:track:01380RE6UfsPSdiUIwrCoH,spotify:album:43wFM1HquliY3iwKWzPN4y
Golden Slumbers - Remastered 2009,63,False,91760,spotify:track:01SfTM5nfCou5gQL70r6gs,spotify:album:0ETFjACtuP2ADo6LFhL6HN
Jeu de cartes: II. Second Deal,0,False,556493,spotify:track:01sFYbEnNAR4ZBChyKR1XG,spotify:album:19fQbFNjlfXgBAFqftKzWA
"String Quartet No. 6 in G Major, Op. 101: III. Lento",0,False,268400,spotify:track:01toQ1HaV4k4aUqWqNsdJe,spotify:album:4V2YVRjysd08RF0GLRDDK7
FIRST,58,False,212280,spotify:track:021L6LlBBtr34BmFRHd9Ic,spotify:album:4ZDUTnUO9CDFmwdCUCQ6dG
Heat Waves,83,False,238805,spotify:track:02MWAaffLxlfxAUY7c5dvx,spotify:album:0KTj6k94XZh0c6IEMfxeWV
Leave The Door Open,80,False,242096,spotify:track:02VBYrHfVwfEWXk5DXyf0T,spotify:album:1YgekJJTEueWDaMr7BYqPk
Reckoner,62,False,290213,spotify:track:02ppMPbg1OtEdHgoPqoqju,spotify:album:5vkqYmiPBYLaalcmjujWxK
"Die Zauberflöte, K.620 / Act 2: O Isis und Osiris (Sarastro, Chor)",0,False,201266,spotify:track:02wPB0VvxA5DRX9opniy9p,spotify:album:1HSJhsMIW2EDD4YSSkbc9e
"String Quartet No.11 in F Minor, Op. 122: III. Récitatif (Adagio)",0,False,78666,spotify:track:02ys9P2W1zcsnWAw9LbaRD,spotify:album:4V2YVRjysd08RF0GLRDDK7
Oh Sorry Ya,44,False,155214,spotify:track:03HYOtfzbzx0HPHMcfLFOe,spotify:album:4LKKDcLPX4aZXGfnlpFPi7
"Brahms: Symphony No. 3 in F Major, Op. 90: III. Poco allegretto",16,False,404253,spotify:track:03JOtXKbbCnjgbska9eddP,spotify:album:2dL2qDsg6teV1cueLxCRa1
"Divertimento in D, K.334 - Orchestral Version: 4. Adagio",0,False,481000,spotify:track:03TgTnAaYjAU2D89YrStjr,spotify:album:1HSJhsMIW2EDD4YSSkbc9e
Gangnam Style (강남스타일),71,False,219493,spotify:track:03UrZgTINDqvnUMbbIMhql,spotify:album:0ZjxizLeMyFEjR27JIvD99
"Waltz No. 8 in A-Flat Major, Op. 64 No. 3",8,False,139560,spotify:track:03VKTfzUvj7dzWHn5vmbH4,spotify:album:0yCrQ6dCqiI6ldqI8LPqWB
悪ノ娘,45,False,277685,spotify:track:03XONBRA5fulEuMs7gNQ05,spotify:album:1UkodLwja64ZFXbehIWnEN
Say Something,0,False,231466,spotify:track:03ZafJ5f3rfyF9fSB8JkX8,spotify:album:3mnYoDcAHKx6uA91f7rtAa
Miracle,51,False,252213,spotify:track:03foRBkthqRkysYT7FxWZV,spotify:album:54O0kItm5ej0HThVMIv5hF
Many the Miles,45,False,311173,spotify:track:03kCR9HZpX5muU7D8xYPOL,spotify:album:2Z9WUERfMjOgQ6ze9TcGbF
Traffic light,52,False,231586,spotify:track:03qu1u4hDyepQQi2lNxCka,spotify:album:4lHGpxL8peLQSZRgl1Lssm
No Hands (feat. Roscoe Dash & Wale),73,True,263773,spotify:track:03tqyYWC9Um2ZqU0ZN849H,spotify:album:6MQtWELG7aRX7CkAzQ6nLM
MORE & MORE (English Version),42,False,199653,spotify:track:03wvlNaxFKB9sge4U6vyPE,spotify:album:4AXNnQf2SkyY8d4FQaBKo5
"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",68,False,152333,spotify:track:03xWMkKEbeO4SnylA53ipj,spotify:album:1l0aFrH24oPrQSqGtfeFyE
Coppélia / Tableau 1: No. 4 Scène,0,False,114426,spotify:track:043cfi7SrTRdEoIcFs1i3e,spotify:album:7jKT8NC2XfAs9RFKsrGz2p
Sweet As Whole,31,True,277546,spotify:track:04BcODyhCDTV7SBFeJHOXe,spotify:album:1PrqYZJRzGNf8AsSOraxnZ
South East Quarter,2,False,296493,spotify:track:04IcSgYzMaGKJsfYJ6cs8s,spotify:album:6azX9ZDZzVLjpQy6ytifne
Les Poissons,40,False,95706,spotify:track:04LkB4linu702YDzlrQNDi,spotify:album:4aAwvCRNJIqiUGVEjieWv6
"Piano Concerto No. 27 in B-Flat Major, K. 595: II. Larghetto",0,False,425440,spotify:track:04Vw5tlqRgimrmWnbuDI2O,spotify:album:3AYEvo7R1gY4O5xJuMwy3U
Crazy Love,7,False,154560,spotify:track:04glHdRn4SgTADxKoKzOoO,spotify:album:0RXzDyBEGd2EGQTmv8cxQa
